TimeSlice	Time	bicepsfemorisposterior	gemellussuperior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
50	0.027	0	0.37	0.362471	0	0.190009	0.194917	0	0	0	0	0	0
51	0.02754	0	0.37	0.37118	0	0.194442	0.201974	0	0	0	0	0	0
52	0.02808	0	0.37	0.379725	0	0.198844	0.20917	0	0	0	0	0	0
53	0.02862	0	0.37	0.388115	0	0.203212	0.216496	0	0	0	0	0	0
54	0.02916	0	0.37	0.396359	0	0.207543	0.223954	0	0	0	0	0	0
55	0.0297	0	0.37	0.404467	0	0.211832	0.231542	0	0	0	0	0	0
56	0.03024	0	0.37	0.412448	0	0.216075	0.239259	0	0	0	0	0	0
57	0.03078	0	0.37	0.420312	0	0.220267	0.247103	0	0	0	0	0	0
58	0.03132	0	0.37	0.428066	0	0.224404	0.255069	0	0	0	0	0	0
59	0.03186	0	0.37	0.43572	0	0.228484	0.263158	0	0	0	0	0	0
60	0.0324	0	0.37	0.443279	0	0.2325	0.271366	0	0	0	0	0	0
61	0.03294	0	0.37	0.450752	0	0.236448	0.27969	0	0	0	0	0	0
62	0.03348	0	0.37	0.458145	0	0.240325	0.288124	0	0	0	0	0	0
63	0.03402	0	0.37	0.465462	0	0.244127	0.296669	0	0	0	0	0	0
64	0.03456	0	0.37	0.472709	0	0.247851	0.305324	0	0	0	0	0	0
65	0.0351	0	0.37	0.479792	0	0.25149	0.314083	0	0	0	0	0	0
66	0.03564	0	0.37	0.486633	0	0.255042	0.322938	0	0	0	0	0	0
67	0.03618	0	0.37	0.493177	0	0.258503	0.331892	0	0	0	0	0	0
68	0.03672	0	0.37	0.499379	0	0.261869	0.340941	0	0	0	0	0	0
69	0.03726	0	0.37	0.50521	0	0.265135	0.350076	0	0	0	0	0	0
70	0.0378	0	0.37	0.51065	0	0.268299	0.3593	0	0	0	0	0	0
71	0.03834	0	0.37	0.515687	0	0.271355	0.368609	0	0	0	0	0	0
72	0.03888	0	0.37	0.520315	0	0.274303	0.377995	0	0	0	0	0	0
73	0.03942	0	0.37	0.524537	0	0.277137	0.387455	0	0	0	0	0	0
74	0.03996	0	0.37	0.528358	0	0.279856	0.396987	0	0	0	0	0	0
75	0.0405	0	0.37	0.531786	0	0.282454	0.406583	0	0	0	0	0	0
76	0.04104	0	0.37	0.534832	0	0.284931	0.416238	0	0	0	0	0	0
77	0.04158	0	0.37	0.537513	0	0.287284	0.42595	0	0	0	0	0	0
78	0.04212	0	0.37	0.539841	0	0.289509	0.435717	0	0	0	0	0	0
79	0.04266	0	0.37	0.541831	0	0.291605	0.445526	0	0	0	0	0	0
80	0.0432	0	0.37	0.543502	0	0.293569	0.455374	0	0	0	0	0	0
81	0.04374	0	0.37	0.54487	0	0.295401	0.465258	0	0	0	0	0	0
82	0.04428	0	0.37	0.545951	0	0.297097	0.475175	0	0	0	0	0	0
83	0.04482	0	0.37	0.546761	0	0.298657	0.485116	0	0	0	0	0	0
84	0.04536	0	0.37	0.547317	0	0.300082	0.495074	0	0	0	0	0	0
85	0.0459	0	0.37	0.547633	0	0.301368	0.505051	0	0	0	0	0	0
86	0.04644	0	0.37	0.547725	0	0.302514	0.51504	0	0	0	0	0	0
87	0.04698	0	0.37	0.547607	0	0.303521	0.52503	0	0	0	0	0	0
88	0.04752	0	0.37	0.547291	0	0.30439	0.535021	0	0	0	0	0	0
89	0.04806	0	0.37	0.54679	0	0.305119	0.54501	0	0	0	0	0	0
90	0.0486	0	0.37	0.546116	0	0.305708	0.55499	0	0	0	0	0	0
91	0.04914	0	0.37	0.545282	0	0.306159	0.564956	0	0	0	0	0	0
92	0.04968	0	0.37	0.544296	0	0.306471	0.574901	0	0	0	0	0	0.00284599
93	0.05022	0	0.37	0.543168	0	0.306646	0.584822	0	0	0	0	0	0.00649859
94	0.05076	0	0.37	0.541909	0	0.306686	0.594718	0	0	0	0	0	0.0102669
95	0.0513	0	0.37	0.540529	0	0.306592	0.604584	0	0	0	0	0	0.0141461
96	0.05184	0	0.37	0.539037	0	0.306365	0.614408	0	0	0	0	0	0.0181315
97	0.05238	0	0.37	0.537442	0	0.306009	0.624188	0	0	0	0	0	0.0222151
