Time	Current
 0.00000	6.8518e-10
 0.00054	6.8658e-10
 0.00108	6.8797e-10
 0.00162	6.8936e-10
 0.00216	6.9076e-10
 0.00270	6.9215e-10
 0.00324	6.9355e-10
 0.00378	6.9494e-10
 0.00432	6.9633e-10
 0.00486	6.9773e-10
 0.00540	6.9912e-10
 0.00594	7.0052e-10
 0.00648	7.0191e-10
 0.00702	7.0330e-10
 0.00756	7.0470e-10
 0.00810	7.0609e-10
 0.00864	7.0749e-10
 0.00918	7.0888e-10
 0.00972	7.1027e-10
 0.01026	7.1167e-10
 0.01080	7.1306e-10
 0.01134	7.1446e-10
 0.01188	7.1585e-10
 0.01242	7.1724e-10
 0.01296	7.1864e-10
 0.01350	7.2003e-10
 0.01404	7.2142e-10
 0.01458	7.2282e-10
 0.01512	7.2421e-10
 0.01566	7.2561e-10
 0.01620	7.2700e-10
 0.01674	7.2839e-10
 0.01728	7.2979e-10
 0.01782	7.3118e-10
 0.01836	7.3258e-10
 0.01890	7.3397e-10
 0.01944	7.3536e-10
 0.01998	7.3676e-10
 0.02052	7.3815e-10
 0.02106	7.3955e-10
 0.02160	7.4094e-10
 0.02214	7.4233e-10
 0.02268	7.4373e-10
 0.02322	7.4512e-10
 0.02376	7.4652e-10
 0.02430	7.4791e-10
 0.02484	7.4930e-10
 0.02538	7.5070e-10
 0.02592	7.5209e-10
 0.02646	7.5348e-10
 0.02700	7.5488e-10
 0.02754	7.5627e-10
 0.02808	7.5767e-10
 0.02862	7.5906e-10
 0.02916	7.6045e-10
 0.02970	7.6185e-10
 0.03024	7.6324e-10
 0.03078	7.6464e-10
 0.03132	7.6603e-10
 0.03186	7.6742e-10
 0.03240	7.6882e-10
 0.03294	7.7021e-10
 0.03348	7.7161e-10
 0.03402	7.7300e-10
 0.03456	7.7439e-10
 0.03510	7.7579e-10
 0.03564	7.7718e-10
 0.03618	7.7858e-10
 0.03672	7.7997e-10
 0.03726	7.8136e-10
 0.03780	7.8276e-10
 0.03834	7.8415e-10
 0.03888	7.8554e-10
 0.03942	7.8694e-10
 0.03996	7.8833e-10
 0.04050	7.8973e-10
 0.04104	7.9112e-10
 0.04158	7.9251e-10
 0.04212	7.9391e-10
