Time	Current
 0.00000	8.4298e-09
 0.00054	8.4372e-09
 0.00108	8.4446e-09
 0.00162	8.4520e-09
 0.00216	8.4594e-09
 0.00270	8.4668e-09
 0.00324	8.4742e-09
 0.00378	8.4816e-09
 0.00432	8.4889e-09
 0.00486	8.4963e-09
 0.00540	8.5037e-09
 0.00594	8.5111e-09
 0.00648	8.5185e-09
 0.00702	8.5259e-09
 0.00756	8.5333e-09
 0.00810	8.5407e-09
 0.00864	8.5481e-09
 0.00918	8.5555e-09
 0.00972	8.5629e-09
 0.01026	8.5703e-09
 0.01080	8.5777e-09
 0.01134	8.5851e-09
 0.01188	8.5925e-09
 0.01242	8.5999e-09
 0.01296	8.6073e-09
 0.01350	8.6147e-09
 0.01404	8.6221e-09
 0.01458	8.6295e-09
 0.01512	8.6369e-09
 0.01566	8.6443e-09
 0.01620	8.6517e-09
 0.01674	8.6591e-09
 0.01728	8.6665e-09
 0.01782	8.6739e-09
 0.01836	8.6813e-09
 0.01890	8.6887e-09
 0.01944	8.6961e-09
 0.01998	8.7035e-09
 0.02052	8.7109e-09
 0.02106	8.7183e-09
 0.02160	8.7257e-09
 0.02214	8.7331e-09
 0.02268	8.7404e-09
 0.02322	8.7478e-09
 0.02376	8.7552e-09
 0.02430	8.7626e-09
 0.02484	8.7700e-09
 0.02538	8.7774e-09
 0.02592	8.7848e-09
 0.02646	8.7922e-09
 0.02700	8.7996e-09
 0.02754	8.8070e-09
 0.02808	8.8144e-09
 0.02862	8.8218e-09
 0.02916	8.8292e-09
 0.02970	8.8366e-09
 0.03024	8.8440e-09
 0.03078	8.8514e-09
 0.03132	8.8588e-09
 0.03186	8.8662e-09
 0.03240	8.8736e-09
 0.03294	8.8810e-09
 0.03348	8.8884e-09
 0.03402	8.8958e-09
 0.03456	8.9032e-09
 0.03510	8.9106e-09
 0.03564	8.9180e-09
 0.03618	8.9254e-09
 0.03672	8.9328e-09
 0.03726	8.9402e-09
 0.03780	8.9476e-09
 0.03834	8.9550e-09
 0.03888	8.9624e-09
 0.03942	8.9698e-09
 0.03996	8.9772e-09
 0.04050	8.9846e-09
 0.04104	8.9919e-09
 0.04158	8.9993e-09
 0.04212	9.0067e-09
 0.04266	9.0141e-09
 0.04320	9.0215e-09
 0.04374	9.0289e-09
 0.04428	9.0363e-09
 0.04482	9.0437e-09
 0.04536	9.0511e-09
 0.04590	9.0585e-09
 0.04644	9.0659e-09
 0.04698	9.0733e-09
 0.04752	9.0807e-09
 0.04806	9.0881e-09
 0.04860	9.0955e-09
 0.04914	9.1029e-09
 0.04968	9.1103e-09
 0.05022	9.1177e-09
 0.05076	9.1251e-09
 0.05130	9.1325e-09
 0.05184	9.1399e-09
 0.05238	9.1473e-09
 0.05292	9.1547e-09
 0.05346	9.1621e-09
 0.05400	9.1695e-09
 0.05454	9.1769e-09
 0.05508	9.1843e-09
 0.05562	9.1917e-09
 0.05616	9.1991e-09
 0.05670	9.2065e-09
 0.05724	9.2139e-09
 0.05778	9.2213e-09
 0.05832	9.2287e-09
 0.05886	9.2361e-09
 0.05940	9.2434e-09
 0.05994	9.2508e-09
 0.06048	9.2582e-09
 0.06102	9.2656e-09
 0.06156	9.2730e-09
 0.06210	9.2804e-09
 0.06264	9.2878e-09
 0.06318	9.2952e-09
 0.06372	9.3026e-09
 0.06426	9.3100e-09
 0.06480	9.3174e-09
 0.06534	9.3248e-09
 0.06588	9.3322e-09
 0.06642	9.3396e-09
 0.06696	9.3470e-09
 0.06750	9.3544e-09
 0.06804	9.3618e-09
 0.06858	9.3692e-09
 0.06912	9.3766e-09
 0.06966	9.3840e-09
 0.07020	9.3914e-09
 0.07074	9.3988e-09
 0.07128	9.4062e-09
 0.07182	9.4136e-09
 0.07236	9.4210e-09
 0.07290	9.4284e-09
 0.07344	9.4358e-09
 0.07398	9.4432e-09
 0.07452	9.4506e-09
 0.07506	9.4580e-09
 0.07560	9.4654e-09
 0.07614	9.4728e-09
 0.07668	9.4802e-09
 0.07722	9.4875e-09
 0.07776	9.4949e-09
 0.07830	9.5023e-09
 0.07884	9.5097e-09
 0.07938	9.5171e-09
 0.07992	9.5245e-09
 0.08046	9.5319e-09
 0.08100	9.5393e-09
 0.08154	9.5467e-09
 0.08208	9.5541e-09
 0.08262	9.5615e-09
 0.08316	9.5689e-09
 0.08370	9.5763e-09
 0.08424	9.5837e-09
 0.08478	9.5911e-09
 0.08532	9.5985e-09
 0.08586	9.6059e-09
 0.08640	9.6133e-09
 0.08694	9.6207e-09
 0.08748	9.6281e-09
 0.08802	9.6355e-09
 0.08856	9.6429e-09
 0.08910	9.6503e-09
 0.08964	9.6577e-09
 0.09018	9.6651e-09
 0.09072	9.6725e-09
 0.09126	9.6799e-09
 0.09180	9.6873e-09
 0.09234	9.6947e-09
 0.09288	9.7021e-09
 0.09342	9.7095e-09
 0.09396	9.7169e-09
 0.09450	9.7243e-09
 0.09504	9.7317e-09
 0.09558	9.7390e-09
 0.09612	9.7464e-09
 0.09666	9.7538e-09
 0.09720	9.7612e-09
 0.09774	9.7686e-09
 0.09828	9.7760e-09
 0.09882	9.7834e-09
 0.09936	9.7908e-09
 0.09990	9.7982e-09
 0.10044	9.8056e-09
 0.10098	9.8130e-09
 0.10152	9.8155e-09
 0.10206	9.8164e-09
 0.10260	9.8173e-09
 0.10314	9.8182e-09
 0.10368	9.8191e-09
 0.10422	9.8200e-09
 0.10476	9.8210e-09
 0.10530	9.8219e-09
 0.10584	9.8228e-09
 0.10638	9.8237e-09
 0.10692	9.8246e-09
 0.10746	9.8255e-09
 0.10800	9.8264e-09
 0.10854	9.8273e-09
 0.10908	9.8282e-09
 0.10962	9.8291e-09
 0.11016	9.8301e-09
 0.11070	9.8310e-09
 0.11124	9.8319e-09
 0.11178	9.8328e-09
 0.11232	9.8337e-09
 0.11286	9.8346e-09
 0.11340	9.8355e-09
 0.11394	9.8364e-09
 0.11448	9.8373e-09
 0.11502	9.8382e-09
 0.11556	9.8391e-09
 0.11610	9.8401e-09
 0.11664	9.8410e-09
 0.11718	9.8419e-09
 0.11772	9.8428e-09
 0.11826	9.8437e-09
 0.11880	9.8446e-09
 0.11934	9.8455e-09
 0.11988	9.8464e-09
 0.12042	9.8473e-09
 0.12096	9.8482e-09
 0.12150	9.8492e-09
 0.12204	9.8501e-09
 0.12258	9.8510e-09
 0.12312	9.8519e-09
 0.12366	9.8528e-09
 0.12420	9.8537e-09
 0.12474	9.8546e-09
 0.12528	9.8555e-09
 0.12582	9.8564e-09
 0.12636	9.8573e-09
 0.12690	9.8583e-09
 0.12744	9.8592e-09
 0.12798	9.8601e-09
 0.12852	9.8610e-09
 0.12906	9.8619e-09
 0.12960	9.8628e-09
 0.13014	9.8637e-09
 0.13068	9.8646e-09
 0.13122	9.8655e-09
 0.13176	9.8664e-09
 0.13230	9.8673e-09
 0.13284	9.8683e-09
 0.13338	9.8692e-09
 0.13392	9.8701e-09
 0.13446	9.8710e-09
 0.13500	9.8719e-09
 0.13554	9.8728e-09
 0.13608	9.8737e-09
 0.13662	9.8746e-09
 0.13716	9.8755e-09
 0.13770	9.8764e-09
 0.13824	9.8774e-09
 0.13878	9.8783e-09
 0.13932	9.8792e-09
 0.13986	9.8801e-09
 0.14040	9.8810e-09
 0.14094	9.8819e-09
 0.14148	9.8828e-09
 0.14202	9.8837e-09
 0.14256	9.8846e-09
 0.14310	9.8855e-09
 0.14364	9.8864e-09
 0.14418	9.8874e-09
 0.14472	9.8883e-09
 0.14526	9.8892e-09
 0.14580	9.8901e-09
 0.14634	9.8910e-09
 0.14688	9.8919e-09
 0.14742	9.8928e-09
 0.14796	9.8937e-09
 0.14850	9.8946e-09
 0.14904	9.8955e-09
 0.14958	9.8965e-09
 0.15012	9.8974e-09
 0.15066	9.8983e-09
 0.15120	9.8992e-09
 0.15174	9.9001e-09
 0.15228	9.9010e-09
 0.15282	9.9019e-09
 0.15336	9.9028e-09
 0.15390	9.9037e-09
 0.15444	9.9046e-09
 0.15498	9.9055e-09
 0.15552	9.9065e-09
 0.15606	9.9074e-09
 0.15660	9.9083e-09
 0.15714	9.9092e-09
 0.15768	9.9101e-09
 0.15822	9.9110e-09
 0.15876	9.9119e-09
 0.15930	9.9128e-09
 0.15984	9.9137e-09
 0.16038	9.9146e-09
 0.16092	9.9156e-09
 0.16146	9.9165e-09
 0.16200	9.9174e-09
 0.16254	9.9183e-09
 0.16308	9.9192e-09
 0.16362	9.9201e-09
 0.16416	9.9210e-09
 0.16470	9.9219e-09
 0.16524	9.9228e-09
 0.16578	9.9237e-09
 0.16632	9.9246e-09
 0.16686	9.9256e-09
 0.16740	9.9265e-09
 0.16794	9.9274e-09
 0.16848	9.9283e-09
