Time	Current
0	1.8901e-09
0.00054	1.8904e-09
0.00108	1.8907e-09
0.00162	1.891e-09
0.00216	1.8913e-09
0.0027	1.8916e-09
0.00324	1.8919e-09
0.00378	1.8923e-09
0.00432	1.8926e-09
0.00486	1.8929e-09
0.0054	1.8932e-09
0.00594	1.8935e-09
0.00648	1.8938e-09
0.00702	1.8941e-09
0.00756	1.8944e-09
0.0081	1.8947e-09
0.00864	1.895e-09
0.00918	1.8953e-09
0.00972	1.8956e-09
0.01026	1.8959e-09
0.0108	1.8962e-09
0.01134	1.8965e-09
0.01188	1.8968e-09
0.01242	1.8971e-09
0.01296	1.8974e-09
0.0135	1.8977e-09
0.01404	1.898e-09
0.01458	1.8983e-09
0.01512	1.8986e-09
0.01566	1.8989e-09
0.0162	1.8992e-09
0.01674	1.8995e-09
0.01728	1.8998e-09
0.01782	1.9001e-09
0.01836	1.9004e-09
0.0189	1.9007e-09
0.01944	1.901e-09
0.01998	1.9013e-09
0.02052	1.9016e-09
0.02106	1.9019e-09
0.0216	1.9022e-09
0.02214	1.9025e-09
0.02268	1.9028e-09
0.02322	1.9031e-09
0.02376	1.9034e-09
0.0243	1.9037e-09
0.02484	1.904e-09
0.02538	1.9043e-09
0.02592	1.9046e-09
0.02646	1.9049e-09
0.027	1.9052e-09
0.02754	1.9056e-09
0.02808	1.9059e-09
0.02862	1.9062e-09
0.02916	1.9065e-09
0.0297	1.9068e-09
0.03024	1.9071e-09
0.03078	1.9074e-09
0.03132	1.9077e-09
0.03186	1.908e-09
0.0324	1.9083e-09
0.03294	1.9086e-09
0.03348	1.9089e-09
0.03402	1.9052e-09
0.03456	1.9015e-09
0.0351	1.8978e-09
0.03564	1.8941e-09
0.03618	1.8905e-09
0.03672	1.8868e-09
0.03726	1.8831e-09
0.0378	1.8794e-09
0.03834	1.8757e-09
0.03888	1.872e-09
0.03942	1.8684e-09
0.03996	1.8647e-09
0.0405	1.861e-09
0.04104	1.8573e-09
0.04158	1.8536e-09
0.04212	1.85e-09
0.04266	1.8463e-09
0.0432	1.8426e-09
0.04374	1.8389e-09
0.04428	1.8352e-09
0.04482	1.8316e-09
0.04536	1.8279e-09
0.0459	1.8242e-09
0.04644	1.8205e-09
0.04698	1.8168e-09
0.04752	1.8131e-09
0.04806	1.8095e-09
0.0486	1.8058e-09
0.04914	1.8021e-09
0.04968	1.7984e-09
0.05022	1.7947e-09
0.05076	1.7911e-09
0.0513	1.7874e-09
0.05184	1.7837e-09
0.05238	1.78e-09
0.05292	1.7763e-09
0.05346	1.7726e-09
0.054	1.769e-09
0.05454	1.7653e-09
0.05508	1.7616e-09
0.05562	1.7579e-09
0.05616	1.7542e-09
0.0567	1.7506e-09
0.05724	1.7469e-09
0.05778	1.7432e-09
0.05832	1.7395e-09
0.05886	1.7358e-09
0.0594	1.7322e-09
0.05994	1.7285e-09
0.06048	1.7248e-09
0.06102	1.7211e-09
0.06156	1.7174e-09
0.0621	1.7137e-09
0.06264	1.7101e-09
0.06318	1.7064e-09
0.06372	1.7027e-09
0.06426	1.699e-09
0.0648	1.6953e-09
0.06534	1.6917e-09
0.06588	1.688e-09
0.06642	1.6843e-09
0.06696	1.6806e-09
0.0675	1.6776e-09
0.06804	1.6747e-09
0.06858	1.6717e-09
0.06912	1.6687e-09
0.06966	1.6658e-09
0.0702	1.6628e-09
0.07074	1.6598e-09
0.07128	1.6569e-09
0.07182	1.6539e-09
0.07236	1.6509e-09
0.0729	1.6479e-09
0.07344	1.645e-09
0.07398	1.642e-09
0.07452	1.639e-09
0.07506	1.6361e-09
0.0756	1.6331e-09
0.07614	1.6301e-09
0.07668	1.6272e-09
0.07722	1.6242e-09
0.07776	1.6212e-09
0.0783	1.6182e-09
0.07884	1.6153e-09
0.07938	1.6123e-09
0.07992	1.6093e-09
0.08046	1.6064e-09
0.081	1.6034e-09
0.08154	1.6004e-09
0.08208	1.5974e-09
0.08262	1.5945e-09
0.08316	1.5915e-09
0.0837	1.5885e-09
0.08424	1.5856e-09
0.08478	1.5826e-09
0.08532	1.5796e-09
0.08586	1.5767e-09
0.0864	1.5737e-09
0.08694	1.5707e-09
0.08748	1.5677e-09
0.08802	1.5648e-09
0.08856	1.5618e-09
0.0891	1.5588e-09
0.08964	1.5559e-09
0.09018	1.5529e-09
0.09072	1.5499e-09
0.09126	1.547e-09
0.0918	1.544e-09
0.09234	1.541e-09
0.09288	1.538e-09
0.09342	1.5351e-09
0.09396	1.5321e-09
0.0945	1.5291e-09
0.09504	1.5262e-09
0.09558	1.5232e-09
0.09612	1.5202e-09
0.09666	1.5173e-09
0.0972	1.5143e-09
0.09774	1.5113e-09
0.09828	1.5083e-09
0.09882	1.5054e-09
0.09936	1.5024e-09
0.0999	1.4994e-09
0.10044	1.4965e-09
0.10098	1.4944e-09
0.10152	1.4924e-09
0.10206	1.4903e-09
0.1026	1.4883e-09
0.10314	1.4862e-09
0.10368	1.4841e-09
0.10422	1.4821e-09
0.10476	1.48e-09
0.1053	1.478e-09
0.10584	1.4759e-09
0.10638	1.4739e-09
0.10692	1.4718e-09
0.10746	1.4698e-09
0.108	1.4677e-09
0.10854	1.4657e-09
0.10908	1.4636e-09
0.10962	1.4616e-09
0.11016	1.4595e-09
0.1107	1.4574e-09
0.11124	1.4554e-09
0.11178	1.4533e-09
0.11232	1.4513e-09
0.11286	1.4492e-09
0.1134	1.4472e-09
0.11394	1.4451e-09
0.11448	1.4431e-09
0.11502	1.441e-09
0.11556	1.439e-09
0.1161	1.4369e-09
0.11664	1.4349e-09
0.11718	1.4328e-09
0.11772	1.4307e-09
0.11826	1.4287e-09
0.1188	1.4266e-09
0.11934	1.4246e-09
0.11988	1.4225e-09
0.12042	1.4205e-09
0.12096	1.4184e-09
0.1215	1.4164e-09
0.12204	1.4143e-09
0.12258	1.4123e-09
0.12312	1.4102e-09
0.12366	1.4082e-09
0.1242	1.4061e-09
0.12474	1.404e-09
0.12528	1.402e-09
0.12582	1.3999e-09
0.12636	1.3979e-09
0.1269	1.3958e-09
0.12744	1.3938e-09
0.12798	1.3917e-09
0.12852	1.3897e-09
0.12906	1.3876e-09
0.1296	1.3856e-09
0.13014	1.3835e-09
0.13068	1.3815e-09
0.13122	1.3794e-09
0.13176	1.3773e-09
0.1323	1.3753e-09
0.13284	1.3732e-09
0.13338	1.3712e-09
0.13392	1.3691e-09
0.13446	1.3677e-09
0.135	1.3662e-09
0.13554	1.3648e-09
0.13608	1.3634e-09
0.13662	1.3619e-09
0.13716	1.3605e-09
