Time	Current
0	3.4497e-09
0.00054	3.4615e-09
0.00108	3.4733e-09
0.00162	3.4851e-09
0.00216	3.4969e-09
0.0027	3.5087e-09
0.00324	3.5205e-09
0.00378	3.5323e-09
0.00432	3.5441e-09
0.00486	3.5559e-09
0.0054	3.5677e-09
0.00594	3.5795e-09
0.00648	3.5913e-09
0.00702	3.6031e-09
0.00756	3.6149e-09
0.0081	3.6267e-09
0.00864	3.6385e-09
0.00918	3.6503e-09
0.00972	3.6621e-09
0.01026	3.6739e-09
0.0108	3.6857e-09
0.01134	3.6975e-09
0.01188	3.7093e-09
0.01242	3.7211e-09
0.01296	3.7329e-09
0.0135	3.7447e-09
0.01404	3.7565e-09
0.01458	3.7683e-09
0.01512	3.7801e-09
0.01566	3.7919e-09
0.0162	3.8037e-09
0.01674	3.8155e-09
0.01728	3.8273e-09
0.01782	3.8391e-09
0.01836	3.8509e-09
0.0189	3.8627e-09
0.01944	3.8745e-09
0.01998	3.8863e-09
0.02052	3.8981e-09
0.02106	3.9098e-09
0.0216	3.9216e-09
0.02214	3.9334e-09
0.02268	3.9452e-09
0.02322	3.957e-09
0.02376	3.9688e-09
0.0243	3.9806e-09
0.02484	3.9924e-09
0.02538	4.0042e-09
0.02592	4.016e-09
0.02646	4.0278e-09
0.027	4.0396e-09
0.02754	4.0514e-09
0.02808	4.0632e-09
0.02862	4.075e-09
0.02916	4.0868e-09
0.0297	4.0986e-09
0.03024	4.1104e-09
0.03078	4.1222e-09
0.03132	4.134e-09
0.03186	4.1458e-09
0.0324	4.1576e-09
0.03294	4.1694e-09
0.03348	4.1812e-09
0.03402	4.1815e-09
0.03456	4.1818e-09
0.0351	4.1821e-09
0.03564	4.1824e-09
0.03618	4.1827e-09
0.03672	4.183e-09
0.03726	4.1833e-09
0.0378	4.1836e-09
0.03834	4.1839e-09
0.03888	4.1842e-09
0.03942	4.1845e-09
0.03996	4.1848e-09
0.0405	4.1851e-09
0.04104	4.1854e-09
0.04158	4.1857e-09
0.04212	4.1861e-09
0.04266	4.1864e-09
0.0432	4.1867e-09
0.04374	4.187e-09
0.04428	4.1873e-09
0.04482	4.1876e-09
0.04536	4.1879e-09
0.0459	4.1882e-09
0.04644	4.1885e-09
0.04698	4.1888e-09
0.04752	4.1891e-09
0.04806	4.1894e-09
0.0486	4.1897e-09
0.04914	4.19e-09
0.04968	4.1903e-09
0.05022	4.1906e-09
0.05076	4.191e-09
0.0513	4.1913e-09
0.05184	4.1916e-09
0.05238	4.1919e-09
0.05292	4.1922e-09
0.05346	4.1925e-09
0.054	4.1928e-09
0.05454	4.1931e-09
0.05508	4.1934e-09
0.05562	4.1937e-09
0.05616	4.194e-09
0.0567	4.1943e-09
0.05724	4.1946e-09
0.05778	4.1949e-09
0.05832	4.1952e-09
0.05886	4.1955e-09
0.0594	4.1959e-09
0.05994	4.1962e-09
0.06048	4.1965e-09
0.06102	4.1968e-09
0.06156	4.1971e-09
0.0621	4.1974e-09
0.06264	4.1977e-09
0.06318	4.198e-09
0.06372	4.1983e-09
0.06426	4.1986e-09
0.0648	4.1989e-09
0.06534	4.1992e-09
0.06588	4.1995e-09
0.06642	4.1998e-09
0.06696	4.2001e-09
0.0675	4.1956e-09
0.06804	4.1912e-09
0.06858	4.1867e-09
0.06912	4.1822e-09
0.06966	4.1777e-09
0.0702	4.1733e-09
0.07074	4.1688e-09
0.07128	4.1643e-09
0.07182	4.1599e-09
0.07236	4.1554e-09
0.0729	4.1509e-09
0.07344	4.1464e-09
0.07398	4.142e-09
0.07452	4.1375e-09
0.07506	4.133e-09
0.0756	4.1285e-09
0.07614	4.1241e-09
0.07668	4.1196e-09
0.07722	4.1151e-09
0.07776	4.1106e-09
0.0783	4.1062e-09
0.07884	4.1017e-09
0.07938	4.0972e-09
0.07992	4.0928e-09
0.08046	4.0883e-09
0.081	4.0838e-09
0.08154	4.0793e-09
0.08208	4.0749e-09
0.08262	4.0704e-09
