TimeSlice	Time	bicepsfemorisposterior	gemellussuperior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
34	0.01836	0.0433273	0.00679989	0.0287157	0.0326293	0.0144045	0.0453695	0.034716	0.0408165	0.0471774	0.036379	0.0412559	0.0400451
35	0.0189	0.0433312	0.00679904	0.0287124	0.0326297	0.0144117	0.0453739	0.034701	0.0408235	0.0471656	0.0363723	0.0412511	0.0400416
36	0.01944	0.0433356	0.00679817	0.0287094	0.0326306	0.0144191	0.0453783	0.034686	0.0408313	0.0471539	0.0363653	0.0412461	0.0400379
37	0.01998	0.0433406	0.00679729	0.0287066	0.0326317	0.0144266	0.0453828	0.0346709	0.0408396	0.0471422	0.036358	0.0412409	0.0400341
38	0.02052	0.043346	0.0067964	0.0287041	0.0326331	0.0144342	0.0453872	0.0346557	0.0408486	0.0471307	0.0363506	0.0412356	0.0400301
39	0.02106	0.0433519	0.00679551	0.0287017	0.0326348	0.014442	0.0453917	0.0346403	0.0408579	0.0471192	0.0363429	0.0412302	0.040026
40	0.0216	0.0433581	0.00679461	0.0286995	0.0326184	0.0144498	0.0453962	0.0346217	0.0408677	0.0471077	0.0363351	0.0412246	0.0400125
41	0.02214	0.0433393	0.00679404	0.0286854	0.0326021	0.0144547	0.0454028	0.0346029	0.0408484	0.0470878	0.0363353	0.0412247	0.0400129
42	0.02268	0.0433205	0.00679346	0.0286713	0.0325857	0.0144598	0.0454094	0.034584	0.0408292	0.0470678	0.0363353	0.0412248	0.0400131
43	0.02322	0.0433017	0.00679288	0.0286571	0.0325694	0.0144648	0.0454161	0.0345652	0.0408098	0.0470477	0.0363354	0.0412249	0.0400131
44	0.02376	0.0432829	0.00679231	0.0286431	0.0325533	0.0144699	0.0454227	0.0345466	0.0407906	0.0470278	0.0363355	0.0412249	0.0400128
45	0.0243	0.0432644	0.00679175	0.0286292	0.0325374	0.0144748	0.0454293	0.0345282	0.0407716	0.0470081	0.0363355	0.0412249	0.0400125
46	0.02484	0.0432462	0.00679119	0.0286156	0.0325218	0.0144797	0.0454358	0.0345102	0.0407529	0.0469888	0.0363356	0.041225	0.0400122
47	0.02538	0.0432282	0.00679065	0.0286021	0.0325065	0.0144845	0.0454422	0.0344924	0.0407344	0.0469699	0.0363357	0.0412251	0.0400119
48	0.02592	0.0432105	0.00679011	0.028589	0.0324914	0.0144893	0.0454484	0.0344749	0.0407162	0.0469513	0.0363357	0.0412251	0.0400116
49	0.02646	0.0431931	0.00678959	0.028576	0.0324766	0.014494	0.0454546	0.0344578	0.0406984	0.0469331	0.0363358	0.0412252	0.0400112
50	0.027	0.0431757	0.00678908	0.0285634	0.0324622	0.0144985	0.0454606	0.034441	0.0406809	0.0469154	0.0363358	0.0412252	0.0400108
51	0.02754	0.0431592	0.00678858	0.028551	0.032448	0.014503	0.0454666	0.0344246	0.0406637	0.0468982	0.0363359	0.0412253	0.0400104
52	0.02808	0.0431428	0.00678809	0.0285389	0.0324342	0.0145074	0.0454724	0.0344085	0.0406469	0.0468815	0.036336	0.0412253	0.04001
53	0.02862	0.0431268	0.00678761	0.0285271	0.0324207	0.0145117	0.045478	0.0343928	0.0406305	0.0468652	0.036336	0.0412254	0.0400095
54	0.02916	0.0431112	0.00678715	0.0285156	0.0324076	0.0145159	0.0454836	0.0343775	0.0406144	0.0468495	0.0363361	0.0412254	0.0400091
55	0.0297	0.0430959	0.0067867	0.0285044	0.0323948	0.0145199	0.0454889	0.0343626	0.0405988	0.0468344	0.0363361	0.0412254	0.0400086
56	0.03024	0.0430811	0.00678626	0.0284935	0.0323824	0.0145239	0.0454942	0.0343481	0.0405836	0.0468199	0.0363362	0.0412255	0.0400081
