TimeSlice	Time	adductorbrevis	tensorfascialatae
198	0.396	0.395824	0.381023
199	0.398	0.39725	0.378975
200	0.4	0.398791	0.376695
201	0.402	0.400275	0.374434
202	0.404	0.401542	0.372436
203	0.406	0.402456	0.370906
204	0.408	0.402926	0.370002
205	0.41	0.402909	0.369803
206	0.412	0.402417	0.370313
207	0.414	0.401513	0.371462
208	0.416	0.400303	0.373105
209	0.418	0.398922	0.375056
210	0.42	0.397523	0.377091
211	0.422	0.396253	0.378991
212	0.424	0.395249	0.380551
213	0.426	0.394608	0.381609
214	0.428	0.39439	0.382063
215	0.43	0.394606	0.381878
216	0.432	0.39522	0.38109
217	0.434	0.396155	0.379795
218	0.436	0.397299	0.378146
219	0.438	0.398524	0.37633
220	0.44	0.399693	0.374544
221	0.442	0.400677	0.372982
222	0.444	0.401377	0.371806
223	0.446	0.401717	0.371132
224	0.448	0.401671	0.371022
225	0.45	0.401249	0.371474
226	0.452	0.400508	0.372423
227	0.454	0.39953	0.373755
228	0.456	0.398426	0.375316
229	0.458	0.397319	0.376929
230	0.46	0.396327	0.378422
231	0.462	0.395551	0.379629
232	0.464	0.395068	0.380431
233	0.466	0.394925	0.380749
234	0.468	0.395124	0.380559
235	0.47	0.395636	0.379895
236	0.472	0.396396	0.378838
237	0.474	0.397315	0.37751
238	0.476	0.398287	0.376063
239	0.478	0.399206	0.374655
240	0.48	0.399972	0.373436
241	0.482	0.400502	0.372534
242	0.484	0.400747	0.372037
243	0.486	0.400682	0.371988
244	0.488	0.400324	0.372383
245	0.49	0.399715	0.373168
246	0.492	0.398926	0.374246
247	0.494	0.398046	0.375494
248	0.496	0.397171	0.376774
249	0.498	0.396394	0.377942
250	0.5	0.395796	0.378877
251	0.502	0.395435	0.379481
252	0.504	0.395344	0.3797
253	0.506	0.395526	0.379514
254	0.508	0.395952	0.378955
255	0.51	0.39657	0.378093
256	0.512	0.397306	0.377026
257	0.514	0.398078	0.375874
258	0.516	0.3988	0.374763
259	0.518	0.399394	0.373815
260	0.52	0.399796	0.373123
