Time	LH_AnkleZ	LH_HipZ	LH_Knee	
0.19278	-0.514496	-0.9272135	-0.2233679	
0.1944	-0.5151301	-0.9267327	-0.2241813	
0.19602	-0.5157719	-0.9262485	-0.224997	
0.19764	-0.5164211	-0.9257609	-0.225815	
0.19926	-0.5170779	-0.9252698	-0.2266352	
0.20088	-0.5177422	-0.9247752	-0.2274575	
0.2025	-0.5184138	-0.9242773	-0.2282819	
0.20412	-0.5190927	-0.9237759	-0.2291083	
0.20574	-0.519779	-0.923271	-0.2299367	
0.20736	-0.5204724	-0.9227627	-0.2307669	
0.20898	-0.5211731	-0.9222509	-0.231599	
0.2106	-0.5218807	-0.9217356	-0.2324329	
0.21222	-0.5225955	-0.9212168	-0.2332685	
0.21384	-0.5233172	-0.9206946	-0.2341058	
0.21546	-0.5240457	-0.9201689	-0.2349447	
0.21708	-0.5247812	-0.9196396	-0.2357851	
0.2187	-0.5255234	-0.9191068	-0.2366271	
0.22032	-0.5262724	-0.9185705	-0.2374704	
0.22194	-0.527028	-0.9180307	-0.2383152	
0.22356	-0.5277902	-0.9174874	-0.2391612	
0.22518	-0.528559	-0.9169405	-0.2400085	
0.2268	-0.5293343	-0.91639	-0.2408571	
0.22842	-0.530116	-0.915836	-0.2417067	
0.23004	-0.530904	-0.9152784	-0.2425575	
0.23166	-0.5316983	-0.9147173	-0.2434093	
0.23328	-0.5324988	-0.9141525	-0.2442621	
0.2349	-0.5333055	-0.9135842	-0.2451158	
0.23652	-0.5341183	-0.9130123	-0.2459704	
0.23814	-0.5349371	-0.9124368	-0.2468258	
0.23976	-0.5357618	-0.9118577	-0.2476819	
0.24138	-0.5365925	-0.9112749	-0.2485388	
0.243	-0.537429	-0.9106886	-0.2493962	
0.24462	-0.5382712	-0.9100986	-0.2502543	
0.24624	-0.5391192	-0.909505	-0.251113	
0.24786	-0.5399728	-0.9089077	-0.2519721	
0.24948	-0.540832	-0.9083067	-0.2528316	
0.2511	-0.5416967	-0.9077021	-0.2536916	
0.25272	-0.5425667	-0.9070939	-0.2545518	
0.25434	-0.5434422	-0.906482	-0.2554123	
0.25596	-0.544323	-0.9058664	-0.256273	
0.25758	-0.545209	-0.9052471	-0.2571339	
0.2592	-0.5461002	-0.9046242	-0.2579949	
0.26082	-0.5469965	-0.9039975	-0.258856	
0.26244	-0.5478978	-0.903367	-0.259717	
0.26406	-0.5488041	-0.902733	-0.2605781	
0.26568	-0.5497153	-0.9020951	-0.2614392	
0.2673	-0.5506313	-0.9014536	-0.2623	
0.26892	-0.5515522	-0.9008083	-0.2631605	
0.27054	-0.5524777	-0.9001593	-0.2640209	
0.27216	-0.5534078	-0.8995065	-0.2648809	
0.27378	-0.5543424	-0.89885	-0.2657406	
0.2754	-0.5552816	-0.8981897	-0.2665999	
0.27702	-0.5562253	-0.8975256	-0.2674587	
0.27864	-0.5571733	-0.8968578	-0.2683171	
0.28026	-0.5581256	-0.8961862	-0.2691749	
0.28188	-0.559082	-0.8955107	-0.2700322	
0.2835	-0.5600427	-0.8948315	-0.2708887	
0.28512	-0.5610074	-0.8941485	-0.2717446	
0.28674	-0.5619762	-0.8934617	-0.2725998	
