TimeSlice	Time	adductorbrevis	bicepsfemorisposterior	flexordigitorumlongus	medialgastrocnemius	rectusfemoris	tensorfascialatae	tibialisanterior
94	0.05076	0	0	0.160982	0.250885	0.34836	0.301785	0
95	0.0513	0	0	0.157237	0.244266	0.344058	0.300489	0
96	0.05184	0	0	0.15358	0.237796	0.339829	0.299257	0
97	0.05238	0	0	0.150016	0.231479	0.335673	0.298086	0
98	0.05292	0	0	0.146526	0.225312	0.33158	0.29697	0
99	0.05346	0	0	0.143125	0.219297	0.327557	0.295909	0
100	0.054	0	0	0.139795	0.213435	0.323606	0.294901	0
101	0.05454	0	0	0.136549	0.207711	0.319721	0.293943	0
102	0.05508	0	0	0.133376	0.202123	0.315906	0.29303	0
103	0.05562	0	0	0.13029	0.196676	0.312157	0.292164	0
104	0.05616	0	0	0.127274	0.191363	0.308475	0.291341	0
105	0.0567	0	0	0.124325	0.186177	0.304857	0.290558	0
106	0.05724	0	0	0.121442	0.181121	0.301302	0.289816	0
107	0.05778	0	0	0.118638	0.176192	0.297813	0.289108	0
108	0.05832	0	0	0.11591	0.171386	0.294385	0.288436	0
109	0.05886	0	0	0.113234	0.166703	0.291016	0.287799	0
110	0.0594	0	0	0.110625	0.162136	0.287716	0.287193	0
111	0.05994	0	0	0.108093	0.15769	0.284469	0.286619	0
112	0.06048	0	0	0.105616	0.153342	0.281289	0.286073	0
113	0.06102	0	0	0.103191	0.149112	0.278163	0.285553	0
114	0.06156	0	0	0.10084	0.144993	0.275097	0.28506	0
115	0.0621	0	0	0.0985456	0.140977	0.272087	0.284593	0
116	0.06264	0	0	0.0963063	0.137067	0.269131	0.284149	0
117	0.06318	0	0	0.0941206	0.133258	0.266235	0.283727	0
118	0.06372	0	0	0.0919943	0.129551	0.263385	0.283327	0
119	0.06426	0	0	0.0899185	0.12593	0.260599	0.282948	0
120	0.0648	0	0	0.0878991	0.122406	0.25786	0.282587	0
121	0.06534	0	0	0.0859273	0.11898	0.255177	0.282246	0
122	0.06588	0	0	0.0840091	0.115635	0.252542	0.281923	0
123	0.06642	0	0	0.0821357	0.112387	0.24996	0.281612	0
124	0.06696	0	0	0.0803131	0.109214	0.247428	0.281321	0
125	0.0675	0	0	0.07854	0.106134	0.24494	0.281042	0
126	0.06804	0	0	0.0768078	0.103118	0.242503	0.280779	0
127	0.06858	0	0	0.0751226	0.100207	0.240109	0.280531	0
128	0.06912	0	0	0.0734831	0.0973556	0.237771	0.280296	0
129	0.06966	0	0	0.0718736	0.094587	0.235469	0.28007	0
130	0.0702	0	0	0.0703222	0.091881	0.233215	0.279856	0
131	0.07074	0	0	0.0687985	0.0892647	0.231003	0.279655	0
132	0.07128	0	0	0.0673232	0.086703	0.22884	0.279466	0
133	0.07182	0	0	0.0658807	0.0842162	0.226713	0.279283	0
134	0.07236	0	0	0.0644845	0.0817949	0.224634	0.279111	0
135	0.0729	0	0	0.0631117	0.0794408	0.222598	0.278947	0
136	0.07344	0	0	0.0617905	0.0771449	0.220588	0.278792	0
137	0.07398	0	0	0.0604907	0.07492	0.21863	0.278645	0
138	0.07452	0	0	0.0592332	0.0727425	0.216709	0.278505	0
139	0.07506	0	0	0.0580027	0.0706362	0.214827	0.278375	0
140	0.0756	0	0	0.0568054	0.068574	0.212979	0.278249	0
141	0.07614	0	0	0.0556477	0.0665798	0.211166	0.278131	0
142	0.07668	0	0	0.0545141	0.064623	0.209393	0.278019	0
143	0.07722	0	0	0.0534041	0.0627349	0.20765	0.277912	0
144	0.07776	0	0	0.0523384	0.0608956	0.205949	0.277811	0
145	0.0783	0	0	0.0512943	0.0591037	0.204282	0.277716	0
146	0.07884	0	0	0.0502785	0.0573614	0.202643	0.277626	0
147	0.07938	0	0	0.049283	0.0556639	0.201037	0.27754	0
148	0.07992	0	0	0.0483215	0.0540099	0.199467	0.277459	0
149	0.08046	0	0	0.0473789	0.0524053	0.197929	0.27738	0
150	0.081	0	0	0.0464761	0.0508523	0.196419	0.277309	0
151	0.08154	0	0	0.0455833	0.0493353	0.19494	0.277238	0
152	0.08208	0	0	0.0447218	0.0478494	0.193491	0.277174	0
153	0.08262	0	0	0.0438763	0.0464191	0.192072	0.27711	0
154	0.08316	0	0	0.0430537	0.0450284	0.190681	0.277051	0
155	0.0837	0	0	0.0422677	0.0436654	0.189319	0.276997	0
156	0.08424	0	0	0.0414885	0.0423474	0.187981	0.276945	0
157	0.08478	0	0	0.0407304	0.0410622	0.186677	0.276894	0
158	0.08532	0	0	0.0400071	0.0398126	0.185393	0.276846	0
159	0.08586	0	0	0.0392889	0.0386012	0.184135	0.276803	0
160	0.0864	0	0	0.03859	0.0374197	0.18291	0.276759	0
161	0.08694	0	0	0.0379172	0.0362744	0.181702	0.276719	0
162	0.08748	0	0	0.0372553	0.0351573	0.180519	0.276681	0
163	0.08802	0	0	0.0366257	0.0340782	0.179368	0.276644	0
164	0.08856	0	0	0.0360058	0.0330181	0.178236	0.27661	0
165	0.0891	0	0	0.0353955	0.031991	0.177124	0.276579	0
166	0.08964	0	0	0.0348015	0.0309958	0.176038	0.276548	0
167	0.09018	0	0	0.0342308	0.0300317	0.174974	0.276517	0
168	0.09072	0	0	0.0336754	0.029087	0.173932	0.276491	0
169	0.09126	0	0	0.0331349	0.0281684	0.172911	0.276466	0
170	0.0918	0	0	0.032609	0.0272824	0.17191	0.276439	0
