TimeSlice	Time	LH_BicepsFemorisPosterior	LH_TensorFasciaLatae	neur2	LH_BicepsFemorisPosterior
104	0.05616	0.0442138	99.6912	-0.0583417	0.017502
105	0.0567	0.0442138	99.6912	-0.0583453	0.017502
106	0.05724	0.0442138	99.6912	-0.058349	0.017502
107	0.05778	0.0442424	99.6913	-0.0583527	0.0176376
108	0.05832	0.0442424	99.6913	-0.0583564	0.0176376
109	0.05886	0.0442424	99.6913	-0.0583602	0.0176376
110	0.0594	0.0442546	99.8133	-0.0583639	0.00753566
111	0.05994	0.0442546	99.8133	-0.0583677	0.00753566
112	0.06048	0.0442546	99.8133	-0.0583715	0.00753566
113	0.06102	0.0442826	99.838	-0.0583753	0.0172651
114	0.06156	0.0442826	99.838	-0.0583792	0.0172651
115	0.0621	0.0442826	99.838	-0.058383	0.0172651
116	0.06264	0.0443111	99.8381	-0.0583869	0.0175779
117	0.06318	0.0443111	99.8381	-0.0583908	0.0175779
118	0.06372	0.0443111	99.8381	-0.0583947	0.0175779
119	0.06426	0.0443235	99.9224	-0.0583986	0.00765754
120	0.0648	0.0443235	99.9224	-0.0584026	0.00765754
121	0.06534	0.0443235	99.9224	-0.0584065	0.00765754
122	0.06588	0.0443516	99.9382	-0.0584105	0.0173433
123	0.06642	0.0443516	99.9382	-0.0584145	0.0173433
124	0.06696	0.0443516	99.9382	-0.0584185	0.0173433
125	0.0675	0.0443803	99.9382	-0.0584225	0.0177135
126	0.06804	0.0443803	99.9382	-0.0584266	0.0177135
127	0.06858	0.0443803	99.9382	-0.0584306	0.0177135
128	0.06912	0.0443934	99.9844	-0.0584347	0.00811975
129	0.06966	0.0443934	99.9844	-0.0584388	0.00811975
130	0.0702	0.0443934	99.9844	-0.0584429	0.00811975
131	0.07074	0.0444213	99.9909	-0.058447	0.017203
132	0.07128	0.0444213	99.9909	-0.0584512	0.017203
133	0.07182	0.0444213	99.9909	-0.0584553	0.017203
134	0.07236	0.0444494	99.991	-0.0584595	0.0173387
135	0.0729	0.0444494	99.991	-0.0584637	0.0173387
136	0.07344	0.0444494	99.991	-0.0584679	0.0173387
137	0.07398	0.044462	99.9992	-0.0584721	0.00780701
138	0.07452	0.044462	99.9992	-0.0584764	0.00780701
139	0.07506	0.044462	99.9992	-0.0584806	0.00780701
140	0.0756	0.0444893	99.9967	-0.0584849	0.0168282
141	0.07614	0.0444893	99.9967	-0.0584892	0.0168282
142	0.07668	0.0444893	99.9967	-0.0584935	0.0168282
143	0.07722	0.0445162	99.9967	-0.0584978	0.0166396
144	0.07776	0.0445162	99.9967	-0.0585021	0.0166396
145	0.0783	0.0445162	99.9967	-0.0585064	0.0166396
146	0.07884	0.0445275	99.9671	-0.0585108	0.00698147
147	0.07938	0.0445275	99.9671	-0.0585151	0.00698147
148	0.07992	0.0445275	99.9671	-0.0585195	0.00698147
149	0.08046	0.0445542	99.9558	-0.0585239	0.0164465
150	0.081	0.0445542	99.9558	-0.0585283	0.0164465
151	0.08154	0.0445542	99.9558	-0.0585327	0.0164465
152	0.08208	0.0445802	99.9558	-0.0585371	0.0160371
153	0.08262	0.0445802	99.9558	-0.0585416	0.0160371
154	0.08316	0.0445802	99.9558	-0.058546	0.0160371
155	0.0837	0.0445904	99.8886	-0.0585505	0.0062939
156	0.08424	0.0445904	99.8886	-0.058555	0.0062939
157	0.08478	0.0445904	99.8886	-0.0585595	0.0062939
158	0.08532	0.0446166	99.8688	-0.058564	0.016182
159	0.08586	0.0446166	99.8688	-0.0585685	0.016182
160	0.0864	0.0446166	99.8688	-0.058573	0.016182
161	0.08694	0.0446419	99.8687	-0.0585776	0.0156232
162	0.08748	0.0446419	99.8687	-0.0585821	0.0156232
163	0.08802	0.0446419	99.8687	-0.0585867	0.0156232
164	0.08856	0.0446515	99.764	-0.0585912	0.00593517
165	0.0891	0.0446515	99.764	-0.0585958	0.00593517
166	0.08964	0.0446515	99.764	-0.0586004	0.00593517
