Time	Current
0	0
0.00162	1.0313e-11
0.00324	2.0626e-11
0.00486	3.094e-11
0.00648	4.1253e-11
0.0081	5.1566e-11
0.00972	6.1879e-11
0.01134	7.2193e-11
0.01296	8.2506e-11
0.01458	9.2819e-11
0.0162	1.0313e-10
0.01782	1.1345e-10
0.01944	1.2376e-10
0.02106	1.3407e-10
0.02268	1.4439e-10
0.0243	1.547e-10
0.02592	1.6501e-10
0.02754	1.7533e-10
0.02916	1.8564e-10
0.03078	1.9595e-10
0.0324	2.0626e-10
0.03402	2.1658e-10
0.03564	2.2689e-10
0.03726	2.372e-10
0.03888	2.4752e-10
0.0405	2.5783e-10
0.04212	2.6814e-10
0.04374	2.7846e-10
0.04536	2.8877e-10
0.04698	2.9908e-10
0.0486	3.094e-10
0.05022	3.1971e-10
0.05184	3.3002e-10
0.05346	3.4034e-10
0.05508	3.5065e-10
0.0567	3.6096e-10
0.05832	3.7128e-10
0.05994	3.8159e-10
0.06156	3.919e-10
0.06318	4.0222e-10
0.0648	4.1253e-10
0.06642	4.2284e-10
0.06804	4.3316e-10
0.06966	4.4347e-10
0.07128	4.5378e-10
0.0729	4.641e-10
0.07452	4.7441e-10
0.07614	4.8472e-10
0.07776	4.9504e-10
0.07938	5.0535e-10
0.081	5.1566e-10
0.08262	5.2598e-10
0.08424	5.3629e-10
0.08586	5.466e-10
0.08748	5.5691e-10
0.0891	5.6723e-10
0.09072	5.7754e-10
0.09234	5.8785e-10
0.09396	5.9817e-10
0.09558	6.0848e-10
0.0972	6.1879e-10
0.09882	6.2911e-10
0.10044	6.3942e-10
0.10206	6.4973e-10
0.10368	6.6005e-10
0.1053	6.7036e-10
0.10692	6.8067e-10
0.10854	6.9099e-10
0.11016	7.013e-10
0.11178	7.1161e-10
0.1134	7.2193e-10
0.11502	7.3224e-10
0.11664	7.4255e-10
0.11826	7.5287e-10
0.11988	7.6318e-10
0.1215	7.7349e-10
0.12312	7.8381e-10
0.12474	7.9412e-10
0.12636	8.0443e-10
0.12798	8.1475e-10
0.1296	8.2506e-10
0.13122	8.3537e-10
0.13284	8.4569e-10
0.13446	8.56e-10
0.13608	8.6631e-10
0.1377	8.7663e-10
0.13932	8.8694e-10
