Time	Current
0	1e-08
0.00162	1.0032e-08
0.00324	1.0065e-08
0.00486	1.0097e-08
0.00648	1.013e-08
0.0081	1.0162e-08
0.00972	1.0194e-08
0.01134	1.0227e-08
0.01296	1.0259e-08
0.01458	1.0292e-08
0.0162	1.0324e-08
0.01782	1.0356e-08
0.01944	1.0389e-08
0.02106	1.0421e-08
0.02268	1.0453e-08
0.0243	1.0486e-08
0.02592	1.0518e-08
0.02754	1.0551e-08
0.02916	1.0583e-08
0.03078	1.0615e-08
0.0324	1.0648e-08
0.03402	1.068e-08
0.03564	1.0712e-08
0.03726	1.0745e-08
0.03888	1.0777e-08
0.0405	1.0809e-08
0.04212	1.0841e-08
0.04374	1.0874e-08
0.04536	1.0906e-08
0.04698	1.0938e-08
0.0486	1.097e-08
0.05022	1.1003e-08
0.05184	1.1035e-08
0.05346	1.1067e-08
0.05508	1.1099e-08
0.0567	1.1132e-08
0.05832	1.1164e-08
0.05994	1.1196e-08
0.06156	1.1228e-08
0.06318	1.126e-08
0.0648	1.1292e-08
0.06642	1.1324e-08
0.06804	1.1357e-08
0.06966	1.1389e-08
0.07128	1.1421e-08
0.0729	1.1453e-08
0.07452	1.1485e-08
0.07614	1.1517e-08
0.07776	1.1549e-08
0.07938	1.1581e-08
0.081	1.1613e-08
0.08262	1.1645e-08
0.08424	1.1677e-08
0.08586	1.1709e-08
0.08748	1.1741e-08
0.0891	1.1773e-08
0.09072	1.1804e-08
0.09234	1.1836e-08
0.09396	1.1868e-08
0.09558	1.19e-08
0.0972	1.1932e-08
0.09882	1.1964e-08
0.10044	1.1995e-08
0.10206	1.2027e-08
0.10368	1.2059e-08
0.1053	1.209e-08
0.10692	1.2122e-08
0.10854	1.2154e-08
0.11016	1.2185e-08
0.11178	1.2217e-08
0.1134	1.2249e-08
0.11502	1.228e-08
0.11664	1.2312e-08
0.11826	1.2343e-08
0.11988	1.2375e-08
0.1215	1.2406e-08
0.12312	1.2438e-08
0.12474	1.2469e-08
0.12636	1.25e-08
0.12798	1.2532e-08
0.1296	1.2563e-08
0.13122	1.2594e-08
0.13284	1.2626e-08
0.13446	1.2657e-08
0.13608	1.2688e-08
0.1377	1.2719e-08
0.13932	1.275e-08
0.14094	1.2782e-08
0.14256	1.2813e-08
0.14418	1.2844e-08
0.1458	1.2875e-08
0.14742	1.2906e-08
0.14904	1.2937e-08
0.15066	1.2968e-08
0.15228	1.2999e-08
0.1539	1.303e-08
0.15552	1.306e-08
0.15714	1.3091e-08
0.15876	1.3122e-08
0.16038	1.3153e-08
0.162	1.3184e-08
0.16362	1.3214e-08
0.16524	1.3245e-08
0.16686	1.3276e-08
0.16848	1.3306e-08
0.1701	1.3337e-08
0.17172	1.3367e-08
0.17334	1.3398e-08
0.17496	1.3428e-08
0.17658	1.3459e-08
0.1782	1.3489e-08
0.17982	1.3519e-08
0.18144	1.355e-08
0.18306	1.358e-08
0.18468	1.361e-08
0.1863	1.364e-08
0.18792	1.3671e-08
0.18954	1.3701e-08
0.19116	1.3731e-08
0.19278	1.3761e-08
0.1944	1.3791e-08
0.19602	1.3821e-08
0.19764	1.3851e-08
0.19926	1.3881e-08
0.20088	1.391e-08
0.2025	1.394e-08
0.20412	1.397e-08
0.20574	1.4e-08
0.20736	1.4029e-08
0.20898	1.4059e-08
0.2106	1.4089e-08
0.21222	1.4118e-08
0.21384	1.4148e-08
0.21546	1.4177e-08
0.21708	1.4206e-08
0.2187	1.4236e-08
0.22032	1.4265e-08
0.22194	1.4294e-08
0.22356	1.4324e-08
0.22518	1.4353e-08
0.2268	1.4382e-08
0.22842	1.4411e-08
0.23004	1.444e-08
0.23166	1.4469e-08
0.23328	1.4498e-08
0.2349	1.4527e-08
0.23652	1.4556e-08
0.23814	1.4585e-08
0.23976	1.4614e-08
0.24138	1.4642e-08
0.243	1.4671e-08
0.24462	1.47e-08
0.24624	1.4728e-08
0.24786	1.4757e-08
0.24948	1.4785e-08
0.2511	1.4814e-08
0.25272	1.4842e-08
0.25434	1.487e-08
0.25596	1.4899e-08
0.25758	1.4927e-08
0.2592	1.4955e-08
0.26082	1.4983e-08
