TimeSlice	Time	Ib Sensor (Tension)	ml Sensor Length
155	0.0837	5.83485	0.0777722
156	0.08424	5.81148	0.0777723
157	0.08478	5.78824	0.0777723
158	0.08532	5.76513	0.0777723
159	0.08586	5.74216	0.0777723
160	0.0864	5.71932	0.0777724
161	0.08694	5.69661	0.0777724
162	0.08748	5.67404	0.0777724
163	0.08802	5.65159	0.0777724
164	0.08856	5.62927	0.0777724
165	0.0891	5.60708	0.0777724
166	0.08964	5.58503	0.0777724
167	0.09018	5.5631	0.0777724
168	0.09072	5.54129	0.0777724
169	0.09126	5.51961	0.0777724
170	0.0918	5.49806	0.0777724
171	0.09234	5.47664	0.0777724
172	0.09288	5.45535	0.0777724
173	0.09342	5.43417	0.0777724
174	0.09396	5.41313	0.0777724
175	0.0945	5.3922	0.0777723
176	0.09504	5.3714	0.0777723
177	0.09558	5.35072	0.0777723
178	0.09612	5.33016	0.0777723
179	0.09666	5.30972	0.0777723
180	0.0972	5.28939	0.0777722
181	0.09774	5.2692	0.0777722
182	0.09828	5.24913	0.0777722
183	0.09882	5.22916	0.0777722
184	0.09936	5.20931	0.0777721
185	0.0999	5.18959	0.0777721
186	0.10044	5.16997	0.0777721
187	0.10098	5.15048	0.0777721
188	0.10152	5.13111	0.077772
189	0.10206	5.11184	0.077772
190	0.1026	5.09269	0.077772
191	0.10314	5.07365	0.0777719
192	0.10368	5.05473	0.0777719
193	0.10422	5.03592	0.0777719
194	0.10476	5.01721	0.0777718
195	0.1053	4.99862	0.0777718
196	0.10584	4.98015	0.0777718
197	0.10638	4.96177	0.0777717
198	0.10692	4.94351	0.0777717
199	0.10746	4.92535	0.0777717
200	0.108	4.9073	0.0777716
201	0.10854	4.88936	0.0777716
202	0.10908	4.87153	0.0777716
203	0.10962	4.85381	0.0777715
204	0.11016	4.83618	0.0777715
205	0.1107	4.81866	0.0777714
206	0.11124	4.80124	0.0777714
207	0.11178	4.78394	0.0777714
208	0.11232	4.76673	0.0777714
209	0.11286	4.74963	0.0777713
210	0.1134	4.73262	0.0777713
211	0.11394	4.71572	0.0777712
212	0.11448	4.69892	0.0777712
213	0.11502	4.68221	0.0777712
214	0.11556	4.66561	0.0777711
215	0.1161	4.6491	0.0777711
216	0.11664	4.63268	0.0777711
217	0.11718	4.61637	0.077771
218	0.11772	4.60016	0.077771
219	0.11826	4.58404	0.077771
220	0.1188	4.56802	0.0777709
221	0.11934	4.5521	0.0777709
222	0.11988	4.53626	0.0777709
223	0.12042	4.52052	0.0777708
224	0.12096	4.50488	0.0777708
225	0.1215	4.48933	0.0777707
226	0.12204	4.47387	0.0777707
227	0.12258	4.4585	0.0777707
228	0.12312	4.44323	0.0777706
229	0.12366	4.42804	0.0777706
230	0.1242	4.41294	0.0777706
231	0.12474	4.39793	0.0777705
232	0.12528	4.38302	0.0777705
233	0.12582	4.3682	0.0777705
234	0.12636	4.35346	0.0777704
235	0.1269	4.3388	0.0777704
236	0.12744	4.32424	0.0777704
237	0.12798	4.30977	0.0777703
238	0.12852	4.29537	0.0777703
239	0.12906	4.28107	0.0777703
240	0.1296	4.26685	0.0777702
241	0.13014	4.25272	0.0777702
242	0.13068	4.23867	0.0777702
243	0.13122	4.22469	0.0777701
244	0.13176	4.21081	0.0777701
245	0.1323	4.19701	0.0777701
246	0.13284	4.18329	0.07777
247	0.13338	4.16965	0.07777
248	0.13392	4.15609	0.07777
249	0.13446	4.14262	0.0777699
250	0.135	4.12922	0.0777699
251	0.13554	4.11591	0.0777699
252	0.13608	4.10267	0.0777698
253	0.13662	4.08951	0.0777698
254	0.13716	4.07644	0.0777698
255	0.1377	4.06343	0.0777697
256	0.13824	4.05051	0.0777697
257	0.13878	4.03766	0.0777697
258	0.13932	4.02489	0.0777697
259	0.13986	4.0122	0.0777696
260	0.1404	3.99958	0.0777696
261	0.14094	3.98703	0.0777696
262	0.14148	3.97456	0.0777695
263	0.14202	3.96217	0.0777695
264	0.14256	3.94984	0.0777695
265	0.1431	3.93759	0.0777695
266	0.14364	3.92543	0.0777694
267	0.14418	3.91333	0.0777694
268	0.14472	3.90129	0.0777694
269	0.14526	3.88933	0.0777693
270	0.1458	3.87744	0.0777693
271	0.14634	3.86563	0.0777693
272	0.14688	3.85388	0.0777693
273	0.14742	3.84221	0.0777692
274	0.14796	3.8306	0.0777692
275	0.1485	3.81906	0.0777692
276	0.14904	3.80759	0.0777692
277	0.14958	3.79619	0.0777691
278	0.15012	3.78485	0.0777691
279	0.15066	3.77359	0.0777691
280	0.1512	3.76239	0.077769
281	0.15174	3.75126	0.077769
282	0.15228	3.74019	0.077769
283	0.15282	3.72919	0.077769
284	0.15336	3.71826	0.077769
285	0.1539	3.70739	0.0777689
286	0.15444	3.69659	0.0777689
287	0.15498	3.68585	0.0777689
288	0.15552	3.67517	0.0777689
289	0.15606	3.66456	0.0777688
290	0.1566	3.65401	0.0777688
291	0.15714	3.64352	0.0777688
292	0.15768	3.6331	0.0777688
293	0.15822	3.62274	0.0777687
294	0.15876	3.61244	0.0777687
295	0.1593	3.60219	0.0777687
296	0.15984	3.59202	0.0777687
297	0.16038	3.58191	0.0777686
298	0.16092	3.57184	0.0777686
299	0.16146	3.56184	0.0777686
300	0.162	3.55191	0.0777686
301	0.16254	3.54203	0.0777686
302	0.16308	3.53221	0.0777685
303	0.16362	3.52244	0.0777685
304	0.16416	3.51274	0.0777685
305	0.1647	3.5031	0.0777685
306	0.16524	3.49351	0.0777684
307	0.16578	3.48398	0.0777684
308	0.16632	3.47451	0.0777684
309	0.16686	3.46509	0.0777684
310	0.1674	3.45573	0.0777684
311	0.16794	3.44642	0.0777683
312	0.16848	3.43717	0.0777683
313	0.16902	3.42798	0.0777683
314	0.16956	3.41883	0.0777683
315	0.1701	3.40974	0.0777683
316	0.17064	3.40071	0.0777682
317	0.17118	3.39173	0.0777682
318	0.17172	3.38281	0.0777682
319	0.17226	3.37394	0.0777682
320	0.1728	3.36512	0.0777681
321	0.17334	3.35635	0.0777681
322	0.17388	3.34764	0.0777681
323	0.17442	3.33898	0.0777681
324	0.17496	3.33037	0.0777681
325	0.1755	3.3218	0.0777681
326	0.17604	3.3133	0.077768
327	0.17658	3.30484	0.077768
328	0.17712	3.29643	0.077768
329	0.17766	3.28807	0.077768
330	0.1782	3.27976	0.077768
331	0.17874	3.2715	0.0777679
332	0.17928	3.2633	0.0777679
333	0.17982	3.25514	0.0777679
334	0.18036	3.24702	0.0777679
335	0.1809	3.23896	0.0777679
336	0.18144	3.23094	0.0777679
337	0.18198	3.22298	0.0777678
338	0.18252	3.21505	0.0777678
339	0.18306	3.20718	0.0777678
340	0.1836	3.19936	0.0777678
341	0.18414	3.19157	0.0777678
342	0.18468	3.18384	0.0777678
343	0.18522	3.17615	0.0777677
344	0.18576	3.16851	0.0777677
345	0.1863	3.16091	0.0777677
346	0.18684	3.15336	0.0777677
347	0.18738	3.14586	0.0777677
348	0.18792	3.1384	0.0777676
349	0.18846	3.13098	0.0777676
350	0.189	3.12361	0.0777676
351	0.18954	3.11628	0.0777676
352	0.19008	3.10899	0.0777676
353	0.19062	3.10175	0.0777676
354	0.19116	3.09455	0.0777676
355	0.1917	3.0874	0.0777675
356	0.19224	3.08029	0.0777675
357	0.19278	3.07321	0.0777675
358	0.19332	3.06618	0.0777675
359	0.19386	3.05919	0.0777675
360	0.1944	3.05225	0.0777675
361	0.19494	3.04534	0.0777674
362	0.19548	3.03848	0.0777674
363	0.19602	3.03166	0.0777674
364	0.19656	3.02488	0.0777674
365	0.1971	3.01815	0.0777674
366	0.19764	3.01145	0.0777674
367	0.19818	3.00479	0.0777674
368	0.19872	2.99816	0.0777673
369	0.19926	2.99158	0.0777673
370	0.1998	2.98504	0.0777673
371	0.20034	2.97854	0.0777673
372	0.20088	2.97207	0.0777673
373	0.20142	2.96565	0.0777673
374	0.20196	2.95926	0.0777673
375	0.2025	2.95291	0.0777673
376	0.20304	2.94659	0.0777672
377	0.20358	2.94032	0.0777672
378	0.20412	2.93409	0.0777672
379	0.20466	2.92789	0.0777672
380	0.2052	2.92173	0.0777672
381	0.20574	2.9156	0.0777672
382	0.20628	2.90951	0.0777672
383	0.20682	2.90345	0.0777672
384	0.20736	2.89744	0.0777671
385	0.2079	2.89146	0.0777671
386	0.20844	2.88551	0.0777671
387	0.20898	2.87959	0.0777671
388	0.20952	2.87372	0.0777671
389	0.21006	2.86789	0.0777671
390	0.2106	2.86209	0.0777671
391	0.21114	2.85631	0.0777671
392	0.21168	2.85057	0.0777671
393	0.21222	2.84487	0.077767
394	0.21276	2.8392	0.077767
395	0.2133	2.83357	0.077767
396	0.21384	2.82796	0.077767
397	0.21438	2.82239	0.077767
398	0.21492	2.81685	0.077767
399	0.21546	2.81135	0.077767
400	0.216	2.80588	0.077767
401	0.21654	2.80045	0.077767
402	0.21708	2.79505	0.0777669
403	0.21762	2.78968	0.0777669
404	0.21816	2.78433	0.0777669
405	0.2187	2.77903	0.0777669
406	0.21924	2.77375	0.0777669
407	0.21978	2.7685	0.0777669
408	0.22032	2.76329	0.0777669
409	0.22086	2.7581	0.0777669
410	0.2214	2.75295	0.0777669
411	0.22194	2.74783	0.0777668
412	0.22248	2.74274	0.0777668
413	0.22302	2.73768	0.0777668
414	0.22356	2.73265	0.0777668
415	0.2241	2.72764	0.0777668
416	0.22464	2.72267	0.0777668
417	0.22518	2.71774	0.0777668
418	0.22572	2.71282	0.0777668
419	0.22626	2.70794	0.0777668
420	0.2268	2.70308	0.0777667
421	0.22734	2.69825	0.0777667
422	0.22788	2.69346	0.0777667
423	0.22842	2.6887	0.0777667
424	0.22896	2.68396	0.0777667
425	0.2295	2.67925	0.0777667
426	0.23004	2.67456	0.0777667
427	0.23058	2.66991	0.0777667
428	0.23112	2.66528	0.0777667
429	0.23166	2.66068	0.0777667
430	0.2322	2.6561	0.0777667
431	0.23274	2.65156	0.0777666
432	0.23328	2.64704	0.0777666
433	0.23382	2.64254	0.0777666
434	0.23436	2.63808	0.0777666
435	0.2349	2.63365	0.0777666
436	0.23544	2.62924	0.0777666
437	0.23598	2.62485	0.0777666
438	0.23652	2.62049	0.0777666
439	0.23706	2.61616	0.0777666
440	0.2376	2.61185	0.0777666
441	0.23814	2.60756	0.0777666
442	0.23868	2.60331	0.0777666
443	0.23922	2.59908	0.0777665
444	0.23976	2.59487	0.0777665
445	0.2403	2.5907	0.0777665
446	0.24084	2.58655	0.0777665
447	0.24138	2.58241	0.0777665
448	0.24192	2.5783	0.0777665
449	0.24246	2.57422	0.0777665
450	0.243	2.57016	0.0777665
451	0.24354	2.56612	0.0777665
452	0.24408	2.56211	0.0777665
453	0.24462	2.55813	0.0777665
454	0.24516	2.55416	0.0777664
455	0.2457	2.55022	0.0777664
456	0.24624	2.54631	0.0777664
457	0.24678	2.54242	0.0777664
458	0.24732	2.53856	0.0777664
459	0.24786	2.53471	0.0777664
460	0.2484	2.53088	0.0777664
461	0.24894	2.52708	0.0777664
462	0.24948	2.5233	0.0777664
463	0.25002	2.51954	0.0777664
464	0.25056	2.51581	0.0777664
465	0.2511	2.5121	0.0777664
466	0.25164	2.50841	0.0777664
467	0.25218	2.50475	0.0777664
468	0.25272	2.50111	0.0777664
469	0.25326	2.49748	0.0777663
470	0.2538	2.49388	0.0777663
471	0.25434	2.4903	0.0777663
472	0.25488	2.48674	0.0777663
473	0.25542	2.48321	0.0777663
474	0.25596	2.47969	0.0777663
475	0.2565	2.47619	0.0777663
476	0.25704	2.47272	0.0777663
477	0.25758	2.46926	0.0777663
478	0.25812	2.46583	0.0777663
479	0.25866	2.46242	0.0777663
480	0.2592	2.45902	0.0777663
481	0.25974	2.45565	0.0777663
482	0.26028	2.4523	0.0777662
483	0.26082	2.44897	0.0777662
484	0.26136	2.44565	0.0777662
485	0.2619	2.44236	0.0777662
486	0.26244	2.43909	0.0777662
487	0.26298	2.43583	0.0777662
488	0.26352	2.43259	0.0777662
489	0.26406	2.42938	0.0777662
490	0.2646	2.42618	0.0777662
491	0.26514	2.42301	0.0777662
492	0.26568	2.41985	0.0777662
493	0.26622	2.41671	0.0777662
494	0.26676	2.41359	0.0777662
495	0.2673	2.41049	0.0777662
496	0.26784	2.4074	0.0777662
497	0.26838	2.40434	0.0777662
498	0.26892	2.40129	0.0777661
499	0.26946	2.39826	0.0777661
500	0.27	2.39526	0.0777661
501	0.27054	2.39227	0.0777661
502	0.27108	2.38928	0.0777661
503	0.27162	2.38632	0.0777661
504	0.27216	2.38338	0.0777661
505	0.2727	2.38046	0.0777661
506	0.27324	2.37755	0.0777661
507	0.27378	2.37466	0.0777661
508	0.27432	2.3718	0.0777661
509	0.27486	2.36894	0.0777661
510	0.2754	2.36611	0.0777661
511	0.27594	2.36328	0.0777661
512	0.27648	2.36049	0.0777661
513	0.27702	2.3577	0.0777661
514	0.27756	2.35493	0.0777661
515	0.2781	2.35218	0.077766
516	0.27864	2.34944	0.077766
517	0.27918	2.34672	0.077766
518	0.27972	2.34401	0.077766
519	0.28026	2.34133	0.077766
520	0.2808	2.33866	0.077766
521	0.28134	2.336	0.077766
522	0.28188	2.33335	0.077766
523	0.28242	2.33074	0.077766
524	0.28296	2.32812	0.077766
525	0.2835	2.32553	0.077766
526	0.28404	2.32295	0.077766
527	0.28458	2.32039	0.077766
528	0.28512	2.31784	0.077766
529	0.28566	2.3153	0.077766
530	0.2862	2.31278	0.077766
531	0.28674	2.31029	0.077766
532	0.28728	2.3078	0.077766
533	0.28782	2.30533	0.077766
534	0.28836	2.30287	0.0777659
535	0.2889	2.30043	0.0777659
536	0.28944	2.298	0.0777659
537	0.28998	2.29559	0.0777659
538	0.29052	2.29319	0.0777659
539	0.29106	2.2908	0.0777659
540	0.2916	2.28842	0.0777659
541	0.29214	2.28606	0.0777659
542	0.29268	2.28372	0.0777659
543	0.29322	2.28139	0.0777659
544	0.29376	2.27908	0.0777659
545	0.2943	2.27678	0.0777659
546	0.29484	2.27449	0.0777659
547	0.29538	2.27221	0.0777659
548	0.29592	2.26995	0.0777659
549	0.29646	2.26771	0.0777659
550	0.297	2.26547	0.0777659
551	0.29754	2.26325	0.0777659
552	0.29808	2.26104	0.0777659
553	0.29862	2.25884	0.0777658
554	0.29916	2.25666	0.0777658
555	0.2997	2.25449	0.0777658
556	0.30024	2.25234	0.0777658
557	0.30078	2.2502	0.0777658
558	0.30132	2.24807	0.0777658
559	0.30186	2.24595	0.0777658
560	0.3024	2.24385	0.0777658
561	0.30294	2.24176	0.0777658
562	0.30348	2.23968	0.0777658
563	0.30402	2.23761	0.0777658
564	0.30456	2.23556	0.0777658
565	0.3051	2.23352	0.0777658
566	0.30564	2.23149	0.0777658
567	0.30618	2.22947	0.0777658
568	0.30672	2.22746	0.0777658
569	0.30726	2.22546	0.0777658
570	0.3078	2.22348	0.0777658
571	0.30834	2.22151	0.0777658
572	0.30888	2.21955	0.0777658
573	0.30942	2.2176	0.0777658
574	0.30996	2.21566	0.0777658
575	0.3105	2.21374	0.0777658
576	0.31104	2.21182	0.0777658
577	0.31158	2.20992	0.0777658
578	0.31212	2.20803	0.0777658
579	0.31266	2.20616	0.0777658
580	0.3132	2.20429	0.0777657
581	0.31374	2.20243	0.0777657
582	0.31428	2.20058	0.0777657
583	0.31482	2.19875	0.0777657
584	0.31536	2.19692	0.0777657
585	0.3159	2.19511	0.0777657
586	0.31644	2.19331	0.0777657
587	0.31698	2.19152	0.0777657
588	0.31752	2.18973	0.0777657
589	0.31806	2.18797	0.0777657
590	0.3186	2.18621	0.0777657
591	0.31914	2.18446	0.0777657
592	0.31968	2.18272	0.0777657
593	0.32022	2.18099	0.0777657
594	0.32076	2.17927	0.0777657
595	0.3213	2.17757	0.0777657
596	0.32184	2.17587	0.0777657
597	0.32238	2.17418	0.0777657
598	0.32292	2.1725	0.0777657
599	0.32346	2.17083	0.0777657
600	0.324	2.16918	0.0777657
601	0.32454	2.16753	0.0777657
602	0.32508	2.16589	0.0777657
603	0.32562	2.16427	0.0777657
604	0.32616	2.16265	0.0777657
605	0.3267	2.16104	0.0777657
606	0.32724	2.15944	0.0777657
607	0.32778	2.15785	0.0777657
608	0.32832	2.15627	0.0777657
609	0.32886	2.1547	0.0777656
610	0.3294	2.15314	0.0777656
611	0.32994	2.15158	0.0777656
612	0.33048	2.15004	0.0777656
613	0.33102	2.14851	0.0777656
614	0.33156	2.14698	0.0777656
615	0.3321	2.14547	0.0777656
616	0.33264	2.14396	0.0777656
617	0.33318	2.14246	0.0777656
618	0.33372	2.14096	0.0777656
619	0.33426	2.13948	0.0777656
620	0.3348	2.13801	0.0777656
621	0.33534	2.13656	0.0777656
622	0.33588	2.1351	0.0777656
623	0.33642	2.13366	0.0777656
624	0.33696	2.13222	0.0777656
625	0.3375	2.1308	0.0777656
626	0.33804	2.12938	0.0777656
627	0.33858	2.12796	0.0777656
628	0.33912	2.12656	0.0777656
629	0.33966	2.12517	0.0777656
630	0.3402	2.12378	0.0777656
631	0.34074	2.1224	0.0777656
632	0.34128	2.12103	0.0777656
633	0.34182	2.11968	0.0777656
634	0.34236	2.11833	0.0777656
635	0.3429	2.11698	0.0777656
636	0.34344	2.11564	0.0777656
