TimeSlice	Time	neur1	neur10	neur11	neur12	neur13	neur14	neur15	neur16	neur17	neur18	neur19	neur2	neur20	neur21	neur22	neur23	neur24	neur25	neur26	neur27	neur28	neur29	neur3	neur30	neur31	neur32	neur33	neur34	neur35	neur36	neur37	neur38	neur4	neur5	neur6	neur7	neur8	neur9
0	0	-0.0599994	-0.0599999	-0.0600314	-0.059594	-0.0599982	-0.0597983	-0.06	-0.0595902	-0.0597651	-0.0596416	-0.0598256	-0.0594931	-0.0596755	-0.0598883	-0.0596146	-0.0597832	-0.0599103	-0.0596989	-0.0596844	-0.0597732	-0.0596227	-0.059727	-0.0596366	-0.06	-0.0600205	-0.0600079	-0.06	-0.06	-0.06	-0.0596075	-0.0600317	-0.06	-0.0599999	-0.0599999	-0.06	-0.0599999	-0.0595735	-0.06
3	0.0006	-0.0599976	-0.0599997	-0.0601176	-0.058469	-0.0599932	-0.0592412	-0.06	-0.0584561	-0.0591163	-0.0586499	-0.0593439	-0.0580904	-0.0587791	-0.0595796	-0.0585488	-0.0591842	-0.0596626	-0.0588663	-0.0588127	-0.0591469	-0.0585787	-0.0589722	-0.0586298	-0.06	-0.0600768	-0.0600297	-0.06	-0.06	-0.06	-0.0585225	-0.0601187	-0.06	-0.0599995	-0.0599995	-0.06	-0.0599995	-0.0583912	-0.06
6	0.0012	-0.059996	-0.0599995	-0.0601932	-0.057471	-0.0599888	-0.0587501	-0.06	-0.0574521	-0.0585439	-0.057772	-0.0589187	-0.0568492	-0.0579879	-0.0593074	-0.0576063	-0.0586554	-0.0594439	-0.0581301	-0.0580432	-0.0585947	-0.0576548	-0.0583056	-0.0577373	-0.06	-0.060126	-0.0600487	-0.06	-0.06	-0.06	-0.0575641	-0.0601949	-0.06	-0.0599991	-0.0599992	-0.06	-0.0599991	-0.0573416	-0.06
9	0.0018	-0.0599946	-0.0599993	-0.0602592	-0.0565858	-0.0599849	-0.0583174	-0.06	-0.0565635	-0.0580394	-0.0569952	-0.0585436	-0.0557511	-0.0572901	-0.0590673	-0.0567731	-0.0581889	-0.059251	-0.0574795	-0.0573646	-0.058108	-0.0568372	-0.057717	-0.0569461	-0.06	-0.060169	-0.0600653	-0.06	-0.06	-0.06	-0.056718	-0.0602615	-0.06	-0.0599988	-0.0599989	-0.06	-0.0599988	-0.0564099	-0.06
12	0.0024	-0.0599934	-0.0599992	-0.0603167	-0.0558006	-0.0599815	-0.0579366	-0.06	-0.0557773	-0.0575951	-0.056308	-0.058213	-0.05478	-0.056675	-0.0588558	-0.0560369	-0.0577776	-0.0590809	-0.0569048	-0.0567665	-0.0576796	-0.0561141	-0.0571977	-0.0562447	-0.06	-0.0602064	-0.0600798	-0.06	-0.06	-0.06	-0.0559715	-0.0603196	-0.06	-0.0599985	-0.0599986	-0.06	-0.0599985	-0.0555826	-0.06
15	0.003	-0.0599923	-0.0599991	-0.0603668	-0.055104	-0.0599784	-0.0576017	-0.0599999	-0.0550819	-0.0572041	-0.0557003	-0.0579219	-0.0539215	-0.0561333	-0.0586697	-0.0553867	-0.0574154	-0.058931	-0.0563973	-0.0562398	-0.0573027	-0.0554746	-0.0567398	-0.0556231	-0.06	-0.060239	-0.0600924	-0.0599999	-0.06	-0.06	-0.0553132	-0.0603701	-0.0599999	-0.0599983	-0.0599984	-0.0599999	-0.0599983	-0.054848	-0.06
18	0.0036	-0.0599913	-0.0599989	-0.0604102	-0.0544862	-0.0599756	-0.0573076	-0.0599999	-0.054467	-0.0568604	-0.0551631	-0.0576658	-0.0531629	-0.0556566	-0.0585061	-0.0548128	-0.0570966	-0.0587991	-0.0559495	-0.0557764	-0.0569716	-0.0549095	-0.0563363	-0.0550722	-0.06	-0.0602672	-0.0601033	-0.0599999	-0.06	-0.06	-0.0547333	-0.0604139	-0.0599999	-0.0599981	-0.0599982	-0.0599999	-0.059998	-0.0541956	-0.06
21	0.0042	-0.0599904	-0.0599988	-0.0604477	-0.053938	-0.0599732	-0.0570497	-0.0599999	-0.0539236	-0.0565586	-0.0546884	-0.0574407	-0.0524929	-0.0552378	-0.0583624	-0.0543066	-0.0568164	-0.0586832	-0.0555547	-0.0553693	-0.0566811	-0.0544101	-0.0559812	-0.0545839	-0.06	-0.0602915	-0.0601127	-0.0599999	-0.06	-0.06	-0.0542228	-0.0604517	-0.0599999	-0.0599979	-0.059998	-0.0599999	-0.0599978	-0.0536161	-0.06
24	0.0048	-0.0599897	-0.0599987	-0.0604801	-0.0534518	-0.0599711	-0.0568238	-0.0599999	-0.0534434	-0.0562941	-0.0542691	-0.0572431	-0.0519014	-0.0548701	-0.0582364	-0.0538604	-0.0565703	-0.0585813	-0.0552068	-0.0550119	-0.0564266	-0.0539691	-0.055669	-0.0541513	-0.06	-0.0603124	-0.0601208	-0.0599999	-0.06	-0.06	-0.0537738	-0.0604843	-0.0599999	-0.0599977	-0.0599978	-0.0599999	-0.0599977	-0.0531012	-0.06
27	0.0054	-0.059989	-0.0599986	-0.0605078	-0.0530204	-0.0599691	-0.0566263	-0.0599999	-0.0530194	-0.0560625	-0.053899	-0.05707	-0.0513795	-0.0545478	-0.058126	-0.0534674	-0.0563546	-0.0584921	-0.0549006	-0.0546987	-0.056204	-0.0535799	-0.0553948	-0.053768	-0.06	-0.0603303	-0.0601278	-0.0599999	-0.06	-0.06	-0.0533794	-0.0605123	-0.0599999	-0.0599976	-0.0599977	-0.0599999	-0.0599975	-0.0526437	-0.06
30	0.006	-0.0599884	-0.0599986	-0.0605314	-0.0526377	-0.0599674	-0.056454	-0.0599999	-0.0526452	-0.0558602	-0.0535725	-0.0569185	-0.0509195	-0.0542658	-0.0580296	-0.0531215	-0.0561658	-0.0584139	-0.0546312	-0.0544247	-0.0560097	-0.0532366	-0.0551542	-0.0534284	-0.06	-0.0603455	-0.0601336	-0.0599999	-0.06	-0.06	-0.0530334	-0.0605361	-0.0599999	-0.0599974	-0.0599976	-0.0599999	-0.0599974	-0.0522371	-0.06
33	0.0066	-0.0599878	-0.0599985	-0.0605514	-0.0522982	-0.0599659	-0.0563041	-0.0599999	-0.0523151	-0.0556839	-0.0532846	-0.0567862	-0.0505142	-0.0540195	-0.0579455	-0.0528175	-0.0560008	-0.0583456	-0.0543947	-0.0541854	-0.0558405	-0.0529341	-0.0549436	-0.0531277	-0.06	-0.0603583	-0.0601386	-0.0599999	-0.06	-0.06	-0.0527303	-0.0605562	-0.0599999	-0.0599973	-0.0599974	-0.0599999	-0.0599972	-0.0518756	-0.06
36	0.0072	-0.0599873	-0.0599984	-0.0605681	-0.051997	-0.0599646	-0.056174	-0.0599999	-0.0520242	-0.0555305	-0.0530311	-0.0566709	-0.0501575	-0.0538049	-0.0578723	-0.0525506	-0.0558569	-0.058286	-0.0541871	-0.053977	-0.0556935	-0.0526676	-0.0547595	-0.0528613	-0.06	-0.060369	-0.0601428	-0.0599999	-0.06	-0.06	-0.0524652	-0.0605731	-0.0599999	-0.0599972	-0.0599973	-0.0599999	-0.0599971	-0.0515541	-0.06
39	0.0078	-0.0599869	-0.0599984	-0.060582	-0.0517298	-0.0599634	-0.0560615	-0.0599999	-0.051768	-0.0553976	-0.052808	-0.0565707	-0.0498438	-0.0536183	-0.0578089	-0.0523166	-0.0557319	-0.0582342	-0.0540053	-0.0537959	-0.0555663	-0.0524332	-0.0545989	-0.0526255	-0.06	-0.0603778	-0.0601462	-0.0599999	-0.06	-0.06	-0.0522338	-0.0605871	-0.0599999	-0.0599971	-0.0599973	-0.0599999	-0.059997	-0.0512682	-0.06
42	0.0084	-0.0599865	-0.0599983	-0.0605934	-0.0514927	-0.0599623	-0.0559645	-0.0599999	-0.0515427	-0.0552827	-0.0526118	-0.0564839	-0.0495684	-0.0534566	-0.057754	-0.0521117	-0.0556234	-0.0581893	-0.0538464	-0.053639	-0.0554565	-0.0522271	-0.0544591	-0.0524167	-0.06	-0.060385	-0.0601491	-0.0599999	-0.06	-0.06	-0.0520323	-0.0605985	-0.0599999	-0.059997	-0.0599972	-0.0599999	-0.0599969	-0.0510137	-0.06
45	0.009	-0.0599862	-0.0599983	-0.0606026	-0.0512822	-0.0599614	-0.0558814	-0.0599999	-0.0513446	-0.0551839	-0.0524395	-0.056409	-0.0493268	-0.0533171	-0.0577068	-0.0519328	-0.0555297	-0.0581504	-0.0537077	-0.0535036	-0.0553623	-0.0520462	-0.0543378	-0.052232	-0.06	-0.0603907	-0.0601513	-0.0599999	-0.06	-0.06	-0.0518573	-0.0606077	-0.0599999	-0.0599969	-0.0599971	-0.0599999	-0.0599969	-0.0507871	-0.06
48	0.0096	-0.0599859	-0.0599983	-0.0606098	-0.0510955	-0.0599606	-0.0558105	-0.0599999	-0.0511707	-0.0550992	-0.0522885	-0.0563447	-0.0491153	-0.0531971	-0.0576663	-0.0517768	-0.0554491	-0.058117	-0.0535869	-0.0533873	-0.0552818	-0.0518876	-0.054233	-0.0520685	-0.06	-0.0603951	-0.060153	-0.0599999	-0.06	-0.06	-0.0517057	-0.060615	-0.0599999	-0.0599969	-0.059997	-0.0599999	-0.0599968	-0.0505854	-0.06
51	0.0102	-0.0599856	-0.0599982	-0.0606152	-0.0509299	-0.0599598	-0.0557504	-0.0599999	-0.0510183	-0.0550272	-0.0521563	-0.0562896	-0.0489304	-0.0530944	-0.0576318	-0.0516411	-0.0553801	-0.0580884	-0.0534821	-0.0532878	-0.0552135	-0.0517488	-0.0541426	-0.051924	-0.06	-0.0603984	-0.0601544	-0.0599999	-0.06	-0.06	-0.051575	-0.0606204	-0.0599999	-0.0599968	-0.059997	-0.0599999	-0.0599967	-0.0504056	-0.06
54	0.0108	-0.0599854	-0.0599982	-0.060619	-0.0507828	-0.0599592	-0.0557	-0.0599999	-0.0508849	-0.0549664	-0.0520407	-0.0562429	-0.0487691	-0.0530072	-0.0576026	-0.0515234	-0.0553214	-0.058064	-0.0533914	-0.0532034	-0.0551559	-0.0516275	-0.0540652	-0.0517961	-0.06	-0.0604006	-0.0601553	-0.0599999	-0.06	-0.06	-0.0514627	-0.0606243	-0.0599999	-0.0599968	-0.0599969	-0.0599999	-0.0599967	-0.0502453	-0.06
57	0.0114	-0.0599851	-0.0599982	-0.0606215	-0.0506524	-0.0599586	-0.0556581	-0.0599999	-0.0507684	-0.0549155	-0.0519399	-0.0562035	-0.0486288	-0.0529336	-0.0575781	-0.0514217	-0.0552718	-0.0580434	-0.0533132	-0.0531322	-0.055108	-0.0515218	-0.0539992	-0.0516832	-0.06	-0.060402	-0.0601558	-0.0599999	-0.06	-0.06	-0.0513667	-0.0606267	-0.0599999	-0.0599967	-0.0599969	-0.0599999	-0.0599966	-0.0501023	-0.06
60	0.012	-0.0599849	-0.0599981	-0.0606228	-0.0505366	-0.059958	-0.0556237	-0.0599999	-0.0506668	-0.0548733	-0.0518522	-0.0561706	-0.048507	-0.0528721	-0.0575578	-0.0513342	-0.0552303	-0.0580262	-0.0532462	-0.0530728	-0.0550685	-0.0514299	-0.0539434	-0.0515834	-0.06	-0.0604026	-0.0601561	-0.0599999	-0.06	-0.06	-0.0512852	-0.060628	-0.0599999	-0.0599967	-0.0599968	-0.0599999	-0.0599966	-0.0499747	-0.06
63	0.0126	-0.0599848	-0.0599981	-0.060623	-0.0504338	-0.0599576	-0.055596	-0.0599999	-0.0505785	-0.0548389	-0.0517762	-0.0561435	-0.0484016	-0.0528213	-0.0575412	-0.0512593	-0.0551959	-0.0580119	-0.053189	-0.0530239	-0.0550366	-0.0513502	-0.0538965	-0.0514953	-0.06	-0.0604024	-0.0601561	-0.0599999	-0.06	-0.06	-0.0512165	-0.0606282	-0.0599999	-0.0599966	-0.0599968	-0.0599999	-0.0599965	-0.0498607	-0.06
66	0.0132	-0.0599846	-0.0599981	-0.0606223	-0.0503425	-0.0599571	-0.0555743	-0.0599999	-0.0505019	-0.0548115	-0.0517105	-0.0561215	-0.0483108	-0.05278	-0.0575279	-0.0511955	-0.055168	-0.0580002	-0.0531405	-0.0529842	-0.0550113	-0.0512813	-0.0538577	-0.0514176	-0.06	-0.0604017	-0.0601558	-0.0599999	-0.06	-0.06	-0.0511591	-0.0606274	-0.0599999	-0.0599966	-0.0599968	-0.0599999	-0.0599965	-0.0497587	-0.06
69	0.0138	-0.0599845	-0.0599981	-0.0606207	-0.0502615	-0.0599568	-0.0555578	-0.0599999	-0.0504358	-0.0547901	-0.0516539	-0.056104	-0.048233	-0.0527472	-0.0575175	-0.0511415	-0.0551456	-0.0579909	-0.0530997	-0.0529528	-0.0549919	-0.051222	-0.0538259	-0.0513491	-0.06	-0.0604003	-0.0601554	-0.0599999	-0.06	-0.06	-0.0511118	-0.0606258	-0.0599999	-0.0599966	-0.0599967	-0.0599999	-0.0599965	-0.0496675	-0.06
72	0.0144	-0.0599843	-0.0599981	-0.0606184	-0.0501896	-0.0599564	-0.055546	-0.0599999	-0.0503789	-0.0547741	-0.0516054	-0.0560906	-0.0481666	-0.0527218	-0.0575097	-0.0510963	-0.0551283	-0.0579837	-0.0530658	-0.0529286	-0.0549777	-0.0511712	-0.0538003	-0.0512887	-0.06	-0.0603986	-0.0601547	-0.0599999	-0.06	-0.06	-0.0510734	-0.0606234	-0.0599999	-0.0599965	-0.0599967	-0.0599999	-0.0599964	-0.0495858	-0.06
75	0.015	-0.0599842	-0.0599981	-0.0606155	-0.0501257	-0.0599561	-0.0555382	-0.0599999	-0.0503301	-0.054763	-0.0515641	-0.0560807	-0.0481104	-0.0527031	-0.0575042	-0.0510589	-0.0551154	-0.0579783	-0.053038	-0.0529109	-0.0549682	-0.0511279	-0.0537804	-0.0512355	-0.06	-0.0603963	-0.0601539	-0.0599999	-0.06	-0.06	-0.0510429	-0.0606204	-0.0599999	-0.0599965	-0.0599967	-0.0599999	-0.0599964	-0.0495125	-0.06
78	0.0156	-0.0599841	-0.059998	-0.0606119	-0.050069	-0.0599559	-0.0555342	-0.0599999	-0.0502886	-0.0547561	-0.0515291	-0.056074	-0.0480632	-0.0526902	-0.0575007	-0.0510283	-0.0551064	-0.0579745	-0.0530156	-0.0528989	-0.0549627	-0.0510913	-0.0537653	-0.0511888	-0.06	-0.0603937	-0.0601529	-0.0599999	-0.06	-0.06	-0.0510193	-0.0606168	-0.0599999	-0.0599965	-0.0599967	-0.0599999	-0.0599964	-0.0494467	-0.06
81	0.0162	-0.059984	-0.059998	-0.0606079	-0.0500186	-0.0599556	-0.0555333	-0.0599999	-0.0502535	-0.0547529	-0.0514998	-0.0560702	-0.0480239	-0.0526825	-0.0574989	-0.0510038	-0.0551009	-0.0579722	-0.052998	-0.0528919	-0.0549609	-0.0510607	-0.0537546	-0.0511478	-0.06	-0.0603908	-0.0601518	-0.0599999	-0.06	-0.06	-0.0510019	-0.0606127	-0.0599999	-0.0599965	-0.0599967	-0.0599999	-0.0599964	-0.0493875	-0.06
84	0.0168	-0.059984	-0.059998	-0.0606034	-0.0499739	-0.0599554	-0.0555354	-0.0599999	-0.0502241	-0.0547531	-0.0514755	-0.0560688	-0.0479917	-0.0526794	-0.0574988	-0.0509847	-0.0550985	-0.0579711	-0.0529846	-0.0528895	-0.0549623	-0.0510352	-0.0537478	-0.0511118	-0.06	-0.0603876	-0.0601506	-0.0599999	-0.06	-0.06	-0.0509899	-0.0606081	-0.0599999	-0.0599964	-0.0599966	-0.0599999	-0.0599964	-0.0493343	-0.06
87	0.0174	-0.0599839	-0.059998	-0.0605985	-0.0499341	-0.0599552	-0.0555399	-0.0599999	-0.0501998	-0.0547562	-0.0514556	-0.0560696	-0.0479658	-0.0526804	-0.0575001	-0.0509703	-0.0550989	-0.0579712	-0.0529749	-0.052891	-0.0549666	-0.0510144	-0.0537445	-0.0510803	-0.06	-0.0603841	-0.0601493	-0.0599999	-0.06	-0.06	-0.0509828	-0.0606031	-0.0599999	-0.0599964	-0.0599966	-0.0599999	-0.0599963	-0.0492862	-0.06
90	0.018	-0.0599838	-0.059998	-0.0605933	-0.0498988	-0.0599551	-0.0555467	-0.0599999	-0.0501799	-0.054762	-0.0514396	-0.0560723	-0.0479454	-0.052685	-0.0575026	-0.0509602	-0.0551017	-0.0579723	-0.0529686	-0.0528961	-0.0549733	-0.0509977	-0.0537441	-0.0510528	-0.06	-0.0603804	-0.0601479	-0.0599999	-0.06	-0.06	-0.0509798	-0.0605978	-0.0599999	-0.0599964	-0.0599966	-0.0599999	-0.0599963	-0.0492429	-0.06
93	0.0186	-0.0599838	-0.059998	-0.0605877	-0.0498674	-0.0599549	-0.0555555	-0.0599999	-0.0501639	-0.05477	-0.0514271	-0.0560768	-0.0479299	-0.0526928	-0.0575062	-0.0509538	-0.0551066	-0.0579743	-0.0529652	-0.0529042	-0.0549823	-0.0509847	-0.0537465	-0.0510287	-0.06	-0.0603766	-0.0601465	-0.0599999	-0.06	-0.06	-0.0509807	-0.0605922	-0.0599999	-0.0599964	-0.0599966	-0.0599999	-0.0599963	-0.0492036	-0.06
96	0.0192	-0.0599837	-0.059998	-0.0605819	-0.0498395	-0.0599548	-0.055566	-0.0599999	-0.0501515	-0.0547801	-0.0514177	-0.0560828	-0.0479188	-0.0527035	-0.0575108	-0.0509508	-0.0551134	-0.057977	-0.0529645	-0.0529152	-0.0549933	-0.0509748	-0.0537513	-0.0510079	-0.06	-0.0603725	-0.0601449	-0.0599999	-0.06	-0.06	-0.0509849	-0.0605863	-0.0599999	-0.0599964	-0.0599966	-0.0599999	-0.0599963	-0.049168	-0.06
99	0.0198	-0.0599836	-0.059998	-0.0605759	-0.0498147	-0.0599546	-0.055578	-0.0599999	-0.0501421	-0.054792	-0.0514111	-0.0560902	-0.0479115	-0.0527166	-0.0575163	-0.0509507	-0.0551219	-0.0579805	-0.052966	-0.0529286	-0.0550059	-0.0509678	-0.0537582	-0.0509897	-0.06	-0.0603683	-0.0601434	-0.0599999	-0.06	-0.06	-0.0509919	-0.0605802	-0.0599999	-0.0599964	-0.0599966	-0.0599999	-0.0599963	-0.0491357	-0.06
102	0.0204	-0.0599836	-0.059998	-0.0605697	-0.0497926	-0.0599545	-0.0555914	-0.0599999	-0.0501355	-0.0548055	-0.0514068	-0.0560988	-0.0479076	-0.052732	-0.0575225	-0.0509531	-0.0551319	-0.0579846	-0.0529696	-0.0529441	-0.0550201	-0.0509633	-0.0537669	-0.0509741	-0.06	-0.0603639	-0.0601417	-0.0599999	-0.06	-0.06	-0.0510016	-0.0605739	-0.0599999	-0.0599964	-0.0599966	-0.0599999	-0.0599963	-0.0491062	-0.06
105	0.021	-0.0599836	-0.059998	-0.0605633	-0.049773	-0.0599544	-0.055606	-0.0599999	-0.0501313	-0.0548204	-0.0514047	-0.0561084	-0.0479067	-0.0527493	-0.0575294	-0.0509579	-0.0551432	-0.0579893	-0.052975	-0.0529616	-0.0550357	-0.0509611	-0.0537773	-0.0509606	-0.06	-0.0603595	-0.06014	-0.0599999	-0.06	-0.06	-0.0510135	-0.0605674	-0.0599999	-0.0599964	-0.0599965	-0.0599999	-0.0599963	-0.0490793	-0.06
108	0.0216	-0.0599835	-0.059998	-0.0605567	-0.0497556	-0.0599543	-0.0556217	-0.0599999	-0.0501292	-0.0548365	-0.0514045	-0.056119	-0.0479085	-0.0527684	-0.0575369	-0.0509646	-0.0551557	-0.0579944	-0.052982	-0.0529808	-0.0550525	-0.0509608	-0.0537892	-0.050949	-0.06	-0.0603549	-0.0601383	-0.0599999	-0.06	-0.06	-0.0510274	-0.0605608	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599963	-0.0490547	-0.06
111	0.0222	-0.0599835	-0.059998	-0.0605501	-0.04974	-0.0599542	-0.0556383	-0.0599999	-0.050129	-0.0548538	-0.0514059	-0.0561305	-0.0479126	-0.052789	-0.0575449	-0.0509732	-0.0551692	-0.058	-0.0529904	-0.0530015	-0.0550703	-0.0509622	-0.0538024	-0.0509392	-0.06	-0.0603503	-0.0601366	-0.0599999	-0.06	-0.06	-0.0510431	-0.060554	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599963	-0.0490321	-0.06
114	0.0228	-0.0599834	-0.059998	-0.0605433	-0.0497262	-0.0599542	-0.0556557	-0.0599999	-0.0501305	-0.054872	-0.0514088	-0.0561426	-0.0479188	-0.0528109	-0.0575534	-0.0509834	-0.0551837	-0.0580059	-0.0530001	-0.0530235	-0.055089	-0.0509652	-0.0538168	-0.0509309	-0.06	-0.0603456	-0.0601348	-0.0599999	-0.06	-0.06	-0.0510603	-0.0605471	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.0490113	-0.06
117	0.0234	-0.0599834	-0.059998	-0.0605364	-0.0497139	-0.0599541	-0.0556738	-0.0599999	-0.0501334	-0.054891	-0.0514131	-0.0561554	-0.0479268	-0.052834	-0.0575623	-0.0509949	-0.0551989	-0.0580122	-0.0530109	-0.0530466	-0.0551085	-0.0509695	-0.0538321	-0.0509239	-0.06	-0.0603408	-0.060133	-0.0599999	-0.06	-0.06	-0.0510788	-0.0605401	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.0489921	-0.06
120	0.024	-0.0599834	-0.0599979	-0.0605294	-0.0497029	-0.059954	-0.0556926	-0.0599999	-0.0501377	-0.0549108	-0.0514185	-0.0561688	-0.0479365	-0.0528582	-0.0575715	-0.0510077	-0.0552149	-0.0580188	-0.0530227	-0.0530708	-0.0551288	-0.050975	-0.0538484	-0.0509182	-0.06	-0.060336	-0.0601312	-0.0599999	-0.06	-0.06	-0.0510985	-0.0605331	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.0489744	-0.06
123	0.0246	-0.0599834	-0.0599979	-0.0605224	-0.0496931	-0.059954	-0.0557119	-0.0599999	-0.0501431	-0.0549313	-0.0514249	-0.0561827	-0.0479476	-0.0528834	-0.0575811	-0.0510215	-0.0552315	-0.0580257	-0.0530353	-0.0530959	-0.0551497	-0.0509815	-0.0538655	-0.0509135	-0.06	-0.0603312	-0.0601293	-0.0599999	-0.06	-0.06	-0.0511193	-0.0605259	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.0489579	-0.06
126	0.0252	-0.0599833	-0.0599979	-0.0605153	-0.0496844	-0.0599539	-0.0557317	-0.0599999	-0.0501495	-0.0549523	-0.0514322	-0.0561971	-0.0479599	-0.0529093	-0.057591	-0.0510363	-0.0552487	-0.0580327	-0.0530487	-0.0531219	-0.0551711	-0.050989	-0.0538833	-0.0509097	-0.06	-0.0603263	-0.0601275	-0.0599999	-0.06	-0.06	-0.0511409	-0.0605187	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.0489425	-0.06
129	0.0258	-0.0599833	-0.0599979	-0.0605081	-0.0496766	-0.0599539	-0.055752	-0.0599999	-0.0501568	-0.0549739	-0.0514403	-0.0562118	-0.0479734	-0.0529359	-0.0576011	-0.051052	-0.0552663	-0.05804	-0.0530628	-0.0531485	-0.055193	-0.0509973	-0.0539017	-0.0509068	-0.06	-0.0603213	-0.0601256	-0.0599999	-0.06	-0.06	-0.0511633	-0.0605115	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.0489281	-0.06
132	0.0264	-0.0599833	-0.0599979	-0.0605009	-0.0496697	-0.0599538	-0.0557726	-0.0599999	-0.0501649	-0.0549958	-0.0514492	-0.0562269	-0.0479878	-0.0529632	-0.0576114	-0.0510683	-0.0552844	-0.0580475	-0.0530775	-0.0531758	-0.0552153	-0.0510063	-0.0539206	-0.0509046	-0.06	-0.0603164	-0.0601237	-0.0599999	-0.06	-0.06	-0.0511864	-0.0605042	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.0489146	-0.06
135	0.027	-0.0599833	-0.0599979	-0.0604937	-0.0496635	-0.0599538	-0.0557935	-0.0599999	-0.0501736	-0.0550182	-0.0514586	-0.0562424	-0.0480031	-0.0529911	-0.0576219	-0.0510854	-0.0553029	-0.0580552	-0.0530927	-0.0532036	-0.055238	-0.0510159	-0.05394	-0.0509031	-0.06	-0.0603114	-0.0601218	-0.0599999	-0.06	-0.06	-0.0512101	-0.0604969	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.0489019	-0.06
138	0.0276	-0.0599832	-0.0599979	-0.0604865	-0.049658	-0.0599537	-0.0558147	-0.0599999	-0.050183	-0.0550409	-0.0514686	-0.056258	-0.0480191	-0.0530194	-0.0576325	-0.051103	-0.0553217	-0.058063	-0.0531083	-0.0532318	-0.055261	-0.0510261	-0.0539599	-0.0509021	-0.06	-0.0603064	-0.0601199	-0.0599999	-0.06	-0.06	-0.0512343	-0.0604896	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.04889	-0.06
141	0.0282	-0.0599832	-0.0599979	-0.0604792	-0.049653	-0.0599537	-0.0558361	-0.0599999	-0.0501928	-0.0550639	-0.0514791	-0.056274	-0.0480358	-0.0530482	-0.0576434	-0.0511211	-0.0553408	-0.0580709	-0.0531244	-0.0532605	-0.0552843	-0.0510367	-0.0539801	-0.0509017	-0.06	-0.0603014	-0.060118	-0.0599999	-0.06	-0.06	-0.0512589	-0.0604822	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.0488786	-0.06
144	0.0288	-0.0599832	-0.0599979	-0.060472	-0.0496486	-0.0599536	-0.0558578	-0.0599999	-0.0502032	-0.0550872	-0.0514899	-0.0562901	-0.048053	-0.0530773	-0.0576543	-0.0511396	-0.0553602	-0.0580789	-0.0531408	-0.0532896	-0.0553078	-0.0510478	-0.0540007	-0.0509017	-0.06	-0.0602964	-0.0601161	-0.0599999	-0.06	-0.06	-0.0512838	-0.0604749	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.0488678	-0.06
147	0.0294	-0.0599832	-0.0599979	-0.0604647	-0.0496447	-0.0599536	-0.0558796	-0.0599999	-0.0502139	-0.0551107	-0.0515012	-0.0563064	-0.0480708	-0.0531067	-0.0576653	-0.0511585	-0.0553798	-0.058087	-0.0531576	-0.053319	-0.0553315	-0.0510592	-0.0540216	-0.0509022	-0.06	-0.0602915	-0.0601142	-0.0599999	-0.06	-0.06	-0.0513091	-0.0604675	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.0488576	-0.06
150	0.03	-0.0599832	-0.0599979	-0.0604574	-0.0496411	-0.0599536	-0.0559015	-0.0599999	-0.050225	-0.0551343	-0.0515128	-0.0563229	-0.048089	-0.0531365	-0.0576765	-0.0511777	-0.0553996	-0.0580952	-0.0531746	-0.0533487	-0.0553554	-0.0510709	-0.0540427	-0.050903	-0.06	-0.0602865	-0.0601123	-0.0599999	-0.06	-0.06	-0.0513346	-0.0604601	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.0488477	-0.06
153	0.0306	-0.0599832	-0.0599979	-0.0604501	-0.049638	-0.0599535	-0.0559236	-0.0599999	-0.0502364	-0.0551581	-0.0515246	-0.0563395	-0.0481076	-0.0531664	-0.0576877	-0.0511972	-0.0554196	-0.0581035	-0.0531918	-0.0533786	-0.0553794	-0.0510829	-0.0540641	-0.0509041	-0.06	-0.0602815	-0.0601105	-0.0599999	-0.06	-0.06	-0.0513603	-0.0604528	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.0488383	-0.06
156	0.0312	-0.0599831	-0.0599979	-0.0604429	-0.0496351	-0.0599535	-0.0559458	-0.0599999	-0.050248	-0.0551821	-0.0515367	-0.0563563	-0.0481265	-0.0531966	-0.057699	-0.0512169	-0.0554397	-0.0581119	-0.0532093	-0.0534088	-0.0554035	-0.0510951	-0.0540856	-0.0509055	-0.06	-0.0602765	-0.0601086	-0.0599999	-0.06	-0.06	-0.0513861	-0.0604454	-0.0599999	-0.0599963	-0.0599965	-0.0599999	-0.0599962	-0.0488292	-0.06
