TimeSlice	Time	neur39	neur40	neur41	neur42	neur43	neur44
65	0.013	-0.0569478	-0.0499111	-0.0595798	-0.0597031	-0.0599766	-0.0598661
66	0.0132	-0.0569414	-0.049885	-0.0595777	-0.0597025	-0.0599769	-0.0598664
67	0.0134	-0.0569353	-0.0498602	-0.0595757	-0.0597019	-0.0599772	-0.0598668
68	0.0136	-0.0569297	-0.0498365	-0.0595737	-0.0597013	-0.0599776	-0.0598673
69	0.0138	-0.0569244	-0.049814	-0.0595718	-0.0597008	-0.0599779	-0.0598677
70	0.014	-0.0569195	-0.0497926	-0.0595698	-0.0597003	-0.0599782	-0.0598681
71	0.0142	-0.0569149	-0.0497722	-0.059568	-0.0596998	-0.0599785	-0.0598686
72	0.0144	-0.0569106	-0.0497528	-0.0595661	-0.0596993	-0.0599787	-0.0598691
73	0.0146	-0.0569067	-0.0497345	-0.0595643	-0.0596988	-0.059979	-0.0598696
74	0.0148	-0.056903	-0.049717	-0.0595625	-0.0596983	-0.0599793	-0.0598701
75	0.015	-0.0568997	-0.0497005	-0.0595608	-0.0596979	-0.0599795	-0.0598707
76	0.0152	-0.0568966	-0.0496848	-0.059559	-0.0596975	-0.0599797	-0.0598712
77	0.0154	-0.0568938	-0.04967	-0.0595573	-0.0596971	-0.0599799	-0.0598718
78	0.0156	-0.0568913	-0.049656	-0.0595557	-0.0596967	-0.0599801	-0.0598723
79	0.0158	-0.056889	-0.0496427	-0.059554	-0.0596963	-0.0599803	-0.0598729
80	0.016	-0.056887	-0.0496302	-0.0595524	-0.0596959	-0.0599805	-0.0598735
81	0.0162	-0.0568851	-0.0496184	-0.0595508	-0.0596955	-0.0599807	-0.0598742
82	0.0164	-0.0568835	-0.0496073	-0.0595492	-0.0596952	-0.0599808	-0.0598748
83	0.0166	-0.0568822	-0.0495968	-0.0595477	-0.0596948	-0.0599809	-0.0598754
84	0.0168	-0.056881	-0.049587	-0.0595462	-0.0596944	-0.059981	-0.0598761
85	0.017	-0.05688	-0.0495777	-0.0595447	-0.0596941	-0.0599811	-0.0598767
86	0.0172	-0.0568793	-0.0495691	-0.0595432	-0.0596937	-0.0599812	-0.0598774
87	0.0174	-0.0568787	-0.049561	-0.0595417	-0.0596934	-0.0599813	-0.059878
88	0.0176	-0.0568783	-0.0495535	-0.0595403	-0.0596931	-0.0599813	-0.0598787
89	0.0178	-0.056878	-0.0495464	-0.0595388	-0.0596927	-0.0599813	-0.0598794
90	0.018	-0.0568779	-0.0495399	-0.0595374	-0.0596924	-0.0599813	-0.0598801
91	0.0182	-0.056878	-0.0495339	-0.059536	-0.059692	-0.0599813	-0.0598808
92	0.0184	-0.0568783	-0.0495283	-0.0595347	-0.0596917	-0.0599813	-0.0598815
93	0.0186	-0.0568787	-0.0495231	-0.0595333	-0.0596913	-0.0599813	-0.0598822
94	0.0188	-0.0568792	-0.0495184	-0.0595319	-0.059691	-0.0599812	-0.059883
95	0.019	-0.0568798	-0.0495141	-0.0595306	-0.0596907	-0.0599811	-0.0598837
96	0.0192	-0.0568806	-0.0495102	-0.0595293	-0.0596903	-0.059981	-0.0598844
97	0.0194	-0.0568816	-0.0495066	-0.059528	-0.0596899	-0.0599809	-0.0598852
