TimeSlice	Time	LH_AnkleZ	LH_Knee	LH_HipZ
109	0.05886	-0.491125	-0.170674	-0.952956
110	0.0594	-0.491155	-0.17084	-0.953002
111	0.05994	-0.491182	-0.171006	-0.95304
112	0.06048	-0.491207	-0.171171	-0.953073
113	0.06102	-0.491231	-0.171336	-0.953098
114	0.06156	-0.491252	-0.171501	-0.953119
115	0.0621	-0.491272	-0.171666	-0.953133
116	0.06264	-0.491291	-0.171831	-0.953142
117	0.06318	-0.491308	-0.171996	-0.953146
118	0.06372	-0.491324	-0.17216	-0.953145
119	0.06426	-0.491339	-0.172325	-0.95314
120	0.0648	-0.491353	-0.17249	-0.95313
121	0.06534	-0.491367	-0.172655	-0.953116
122	0.06588	-0.491379	-0.17282	-0.953099
123	0.06642	-0.491391	-0.172985	-0.953077
124	0.06696	-0.491403	-0.173151	-0.953052
125	0.0675	-0.491414	-0.173317	-0.953024
126	0.06804	-0.491425	-0.173483	-0.952992
127	0.06858	-0.491435	-0.173649	-0.952958
128	0.06912	-0.491446	-0.173816	-0.95292
129	0.06966	-0.491456	-0.173983	-0.95288
130	0.0702	-0.491466	-0.17415	-0.952838
131	0.07074	-0.491476	-0.174317	-0.952792
132	0.07128	-0.491487	-0.174486	-0.952744
133	0.07182	-0.491497	-0.174654	-0.952695
134	0.07236	-0.491508	-0.174823	-0.952642
135	0.0729	-0.491519	-0.174992	-0.952588
136	0.07344	-0.49153	-0.175162	-0.952532
137	0.07398	-0.491542	-0.175332	-0.952474
138	0.07452	-0.491554	-0.175503	-0.952414
139	0.07506	-0.491567	-0.175674	-0.952352
140	0.0756	-0.49158	-0.175845	-0.952289
141	0.07614	-0.491593	-0.176018	-0.952224
142	0.07668	-0.491607	-0.17619	-0.952158
143	0.07722	-0.491622	-0.176363	-0.95209
144	0.07776	-0.491637	-0.176537	-0.952021
145	0.0783	-0.491653	-0.176711	-0.951951
146	0.07884	-0.491669	-0.176886	-0.951879
147	0.07938	-0.491686	-0.177062	-0.951806
148	0.07992	-0.491704	-0.177237	-0.951732
149	0.08046	-0.491723	-0.177414	-0.951657
150	0.081	-0.491742	-0.177591	-0.95158
151	0.08154	-0.491762	-0.177768	-0.951503
152	0.08208	-0.491783	-0.177947	-0.951424
153	0.08262	-0.491805	-0.178125	-0.951345
154	0.08316	-0.491828	-0.178305	-0.951265
155	0.0837	-0.491851	-0.178485	-0.951183
156	0.08424	-0.491876	-0.178665	-0.951101
157	0.08478	-0.491901	-0.178846	-0.951018
158	0.08532	-0.491927	-0.179028	-0.950935
159	0.08586	-0.491954	-0.17921	-0.95085
160	0.0864	-0.491982	-0.179393	-0.950765
161	0.08694	-0.492011	-0.179577	-0.950679
162	0.08748	-0.492041	-0.179761	-0.950592
163	0.08802	-0.492072	-0.179945	-0.950505
164	0.08856	-0.492103	-0.180131	-0.950416
165	0.0891	-0.492136	-0.180317	-0.950328
166	0.08964	-0.49217	-0.180503	-0.950238
167	0.09018	-0.492204	-0.18069	-0.950148
168	0.09072	-0.49224	-0.180878	-0.950057
169	0.09126	-0.492277	-0.181067	-0.949966
170	0.0918	-0.492314	-0.181256	-0.949874
171	0.09234	-0.492353	-0.181445	-0.949782
172	0.09288	-0.492393	-0.181635	-0.949689
173	0.09342	-0.492434	-0.181826	-0.949595
174	0.09396	-0.492475	-0.182018	-0.949501
175	0.0945	-0.492518	-0.18221	-0.949407
176	0.09504	-0.492562	-0.182402	-0.949311
177	0.09558	-0.492607	-0.182596	-0.949216
178	0.09612	-0.492653	-0.18279	-0.94912
179	0.09666	-0.4927	-0.182984	-0.949023
180	0.0972	-0.492748	-0.183179	-0.948926
181	0.09774	-0.492797	-0.183375	-0.948829
182	0.09828	-0.492847	-0.183571	-0.948731
183	0.09882	-0.492898	-0.183768	-0.948632
184	0.09936	-0.49295	-0.183966	-0.948533
185	0.0999	-0.493004	-0.184164	-0.948434
186	0.10044	-0.493058	-0.184363	-0.948334
187	0.10098	-0.493114	-0.184562	-0.948234
188	0.10152	-0.49317	-0.184762	-0.948133
189	0.10206	-0.493228	-0.184962	-0.948032
190	0.1026	-0.493286	-0.185164	-0.947931
191	0.10314	-0.493346	-0.185365	-0.947829
192	0.10368	-0.493407	-0.185568	-0.947726
193	0.10422	-0.493469	-0.185771	-0.947624
194	0.10476	-0.493532	-0.185974	-0.94752
195	0.1053	-0.493596	-0.186178	-0.947417
196	0.10584	-0.493661	-0.186383	-0.947313
197	0.10638	-0.493727	-0.186588	-0.947209
198	0.10692	-0.493794	-0.186794	-0.947104
199	0.10746	-0.493863	-0.187001	-0.946999
200	0.108	-0.493932	-0.187208	-0.946893
201	0.10854	-0.494003	-0.187415	-0.946787
202	0.10908	-0.494074	-0.187624	-0.946681
203	0.10962	-0.494147	-0.187832	-0.946575
204	0.11016	-0.494221	-0.188042	-0.946468
205	0.1107	-0.494296	-0.188252	-0.94636
206	0.11124	-0.494372	-0.188462	-0.946252
207	0.11178	-0.494448	-0.188673	-0.946144
208	0.11232	-0.494527	-0.188885	-0.946036
209	0.11286	-0.494606	-0.189097	-0.945927
210	0.1134	-0.494686	-0.18931	-0.945818
211	0.11394	-0.494767	-0.189524	-0.945708
212	0.11448	-0.49485	-0.189737	-0.945598
213	0.11502	-0.494933	-0.189952	-0.945488
214	0.11556	-0.495017	-0.190167	-0.945377
215	0.1161	-0.495103	-0.190383	-0.945266
216	0.11664	-0.49519	-0.190599	-0.945154
217	0.11718	-0.495277	-0.190816	-0.945043
218	0.11772	-0.495366	-0.191033	-0.94493
219	0.11826	-0.495456	-0.191251	-0.944818
220	0.1188	-0.495547	-0.191469	-0.944705
221	0.11934	-0.495639	-0.191688	-0.944592
222	0.11988	-0.495732	-0.191907	-0.944478
223	0.12042	-0.495826	-0.192127	-0.944364
224	0.12096	-0.495921	-0.192348	-0.94425
225	0.1215	-0.496018	-0.192569	-0.944135
226	0.12204	-0.496115	-0.192791	-0.94402
227	0.12258	-0.496213	-0.193013	-0.943905
228	0.12312	-0.496313	-0.193235	-0.943789
229	0.12366	-0.496413	-0.193459	-0.943673
230	0.1242	-0.496515	-0.193682	-0.943556
231	0.12474	-0.496617	-0.193907	-0.94344
232	0.12528	-0.496721	-0.194131	-0.943322
233	0.12582	-0.496826	-0.194357	-0.943205
234	0.12636	-0.496931	-0.194583	-0.943087
235	0.1269	-0.497038	-0.194809	-0.942969
236	0.12744	-0.497146	-0.195036	-0.94285
237	0.12798	-0.497255	-0.195263	-0.942731
